date,long_short_ratio
2020-09-01,1.3455790540972223
2020-09-02,1.6354989260069446
2020-09-03,1.8281566409027776
2020-09-04,1.5352767226388888
2020-09-05,1.3892602452430554
2020-09-06,1.5854869839236112
2020-09-07,1.4669339917013888
2020-09-08,1.7037322808333333
2020-09-09,1.5028118988194443
2020-09-10,1.3735099253124998
2020-09-11,1.407116346076389
2020-09-12,1.354265027326389
2020-09-13,1.3298223274305556
2020-09-14,1.2597854446875
2020-09-15,1.1323162613541666
2020-09-16,1.099202425
2020-09-17,1.1102269731944443
2020-09-18,1.1306325441319443
2020-09-19,1.1293918377430556
2020-09-20,1.1067286341666667
2020-09-21,1.0661990685416667
2020-09-22,1.1022682317013888
2020-09-23,1.0130117133680556
2020-09-24,1.0021990483680556
2020-09-25,0.9958833922916666
2020-09-26,1.0618844265277778
2020-09-27,1.0158981660915491
2020-09-28,1.0950463230555556
2020-09-29,1.0861526897569445
2020-09-30,1.0923933151041667
2020-10-01,1.1175404109375
2020-10-02,1.2003174713541667
2020-10-03,1.1779797504861111
2020-10-04,1.1520229303125
2020-10-05,1.0549753260763888
2020-10-06,0.9406368308680556
2020-10-07,1.0214322283680555
2020-10-08,1.0272959615625001
2020-10-09,1.1245791080208332
2020-10-10,1.3178503378125
2020-10-11,1.3670299375694444
2020-10-12,1.3548585781597222
2020-10-13,1.356213296423611
2020-10-14,1.3596935384027777
2020-10-15,1.2998444974999999
2020-10-16,1.373693021701389
2020-10-17,1.3857199797569446
2020-10-18,1.3381174228472221
2020-10-19,1.2204895256944444
2020-10-20,1.1017123022916666
2020-10-21,1.1227019525347222
2020-10-22,1.4581066326978418
2020-10-23,1.3784517346180556
2020-10-24,1.2960682269444446
2020-10-25,1.4023609392708334
2020-10-26,1.3325147536805555
2020-10-27,1.1980181838888888
2020-10-28,1.3124000627777777
2020-10-29,1.3095583325347222
2020-10-30,1.1707160185069445
2020-10-31,1.1159695353819443
2020-11-01,1.1531462459027777
2020-11-02,1.2261793021875
2020-11-03,1.1486823039583334
2020-11-04,1.1012573019444445
2020-11-05,1.1044800016319445
2020-11-06,1.4919436405555555
2020-11-07,1.5048276674999999
2020-11-08,1.4266503082638888
2020-11-09,1.485800329375
2020-11-10,1.632936103125
2020-11-11,1.5684983828819443
2020-11-12,1.4643844969791666
2020-11-13,1.4555305263194445
2020-11-14,1.5266326367708334
2020-11-15,1.4871953211913356
2020-11-16,1.363305738576389
2020-11-17,1.2882272361458333
2020-11-18,1.6110766485069443
2020-11-19,1.668879050486111
2020-11-20,1.7073402435069445
2020-11-21,1.7877308674642858
2020-11-22,1.7690123561805555
2020-11-23,1.784997803159722
2020-11-24,1.7988852116319443
2020-11-25,2.043581742326389
2020-11-26,1.8360766293055555
2020-11-27,1.6773555920486112
2020-11-28,1.6517942949305555
2020-11-29,1.462392137673611
2020-11-30,1.3365796843402777
2020-12-01,1.4600748374305554
2020-12-02,1.6078592241666667
2020-12-03,1.6216761002430555
2020-12-04,1.5250103899652778
2020-12-05,1.3810906395833333
2020-12-06,1.197819276215278
2020-12-07,1.4389855641666667
2020-12-08,1.4721356250694444
2020-12-09,1.3066296035416667
2020-12-10,1.3204199788888888
2020-12-11,1.3378819997222222
2020-12-12,1.2208444577083333
2020-12-13,1.1449765557291667
2020-12-14,1.1358348173263888
2020-12-15,1.0718358827083334
2020-12-16,1.0068017023263889
2020-12-17,1.4405033146180555
2020-12-18,1.5404827882291667
2020-12-19,1.596001907361111
2020-12-20,1.6126285834722223
2020-12-21,1.4555761236458333
2020-12-22,1.4080960851041668
2020-12-23,1.371015666736111
2020-12-24,1.4020809098263889
2020-12-25,1.4532053772222222
2020-12-26,1.343801440138889
2020-12-27,1.7043008435416667
2020-12-28,1.8486496018055556
2020-12-29,1.9074884710069446
2020-12-30,1.7775296116319443
2020-12-31,1.704863001423611
2021-01-01,1.605721776597222
2021-01-02,1.3696385031597222
2021-01-03,1.7934304321875
2021-01-04,1.9415376517013891
2021-01-05,1.970656526979167
2021-01-06,2.0914713686458333
2021-01-07,2.0287885974305557
2021-01-08,2.2002483101736114
2021-01-09,2.658712308541667
2021-01-10,2.6565750976388887
2021-01-11,2.349267244236111
2021-01-12,2.0944650520486108
2021-01-13,2.089734138854167
2021-01-14,2.138067140902778
2021-01-15,1.952380273611111
2021-01-16,2.232228121597222
2021-01-17,2.0494739877430557
2021-01-18,2.4128967065625
2021-01-19,2.515155188125
2021-01-20,2.3023287823247234
2021-01-21,2.21957853
2021-01-22,2.0290894018055554
2021-01-23,1.9076398420486111
2021-01-24,1.8318154292013888
2021-01-25,1.8114874633680556
2021-01-26,1.9059632846527776
2021-01-27,1.8321977653125
2021-01-28,1.7520486352777778
2021-01-29,1.9291183866319446
2021-01-30,2.6074749893402775
2021-01-31,2.6048968391319445
2021-02-01,2.436829846423611
2021-02-02,2.4973425332986112
2021-02-03,2.121002696423611
2021-02-04,1.837804541076389
2021-02-05,1.9397371827240144
2021-02-06,1.9931816685069446
2021-02-07,2.2641717274216027
2021-02-08,2.2015982141319443
2021-02-09,2.194576910763889
