run_id,generated_at,horizon,window_type,is_official,model,rank,test_start,test_end,sample_count,directional_accuracy,balanced_accuracy,brier_score,calibration_error,mae,rmse,sharpe,max_drawdown,num_trades,turnover,tc_adjusted_return,beats_buy_hold_direction,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,useful_model,reliability_label,selection_eligible,notes
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,random_forest,1,2017-12-31,2026-03-31,100,0.55,0.5460184073629452,0.24533826175758133,0.07715804754411147,0.15317479489148222,0.20513995683241734,0.7643701279618905,-0.4848173186257232,20,0.2,9.93893329659871,True,True,False,True,False,Low confidence,False,
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,momentum_90d,2,2017-12-31,2026-03-31,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.31350442073498297,0.4095172685579832,0.7443711700964941,-0.5161669484906326,22,0.22,8.404250921258626,True,True,False,True,False,Low confidence,False,baseline
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,momentum_30d,3,2017-12-31,2026-03-31,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.2058923773673769,0.25470889753427645,0.6663763289831129,-0.48181901255299286,53,0.53,5.063173250773783,True,False,False,True,False,Low confidence,False,baseline
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,hgb,4,2017-12-31,2026-03-31,100,0.51,0.5060024009603842,0.26314577040500486,0.09902295996431076,0.15874153823310616,0.20510955101604475,0.749599936223473,-0.5765065256518291,36,0.36,9.028449765483552,False,False,False,True,False,Low confidence,False,
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,buy_hold_direction,5,2017-12-31,2026-03-31,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.15387606308262103,0.19533153797959457,0.7218542351604857,-0.712253337992643,1,0.01,8.40243525635288,False,False,False,True,False,Low confidence,False,baseline
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,logistic_linear,6,2017-12-31,2026-03-31,100,0.48,0.4777911164465787,0.2803487419303213,0.12705821270751083,0.16313074960318527,0.21379010288556877,0.5995962664322368,-0.665564341099657,19,0.19,3.894970092999645,False,False,False,True,False,Low confidence,False,does not beat baselines after transaction costs
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,official_monthly,True,random_permutation,7,2017-12-31,2026-03-31,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.15193101218498883,0.19223177318468632,0.3778009394908933,-0.7389610874794639,55,0.55,0.7202328093197985,False,False,False,False,False,Low confidence,False,baseline
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,sensitivity_weekly,False,buy_hold_direction,1,2017-12-31,2026-04-05,432,0.5439814814814815,0.5,0.4469981481481482,0.4460185185185186,0.15376450913500397,0.2014477015662137,1.3744391619679361,-0.9961301810839405,1,0.0023148148148148147,3284.840123509543,False,True,True,True,False,Low confidence,False,baseline
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,sensitivity_weekly,False,hgb,2,2017-12-31,2026-04-05,432,0.5300925925925926,0.5135003780105842,0.24944237920395734,0.06880892273169481,0.15628318902820879,0.2063812495402654,1.354081922363402,-0.9740462787826087,86,0.19907407407407407,2481.981467315687,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
btc_research_20260505T154327Z,2026-05-05T15:43:27+00:00,30,sensitivity_weekly,False,momentum_30d,3,2017-12-31,2026-04-05,432,0.5162037037037037,0.5146884112755157,0.2567592592592593,0.04027777777777774,0.20931621589210767,0.2650942184326122,1.3833684576287464,-0.9424858347662721,97,0.22453703703703703,3516.9994705915774,False,False,True,True,False,Low confidence,False,baseline
