run_id,horizon,window_type,model_name,is_baseline,n_samples,directional_accuracy,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_calibration_check,passes_sample_threshold,passes_reliability_check,final_rejection_reason
btc_research_20260505T154327Z,30,official_monthly,buy_hold_direction,True,100,0.51,False,False,False,True,False,False,True,False,baseline_not_selectable; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260505T154327Z,30,official_monthly,momentum_30d,True,100,0.52,True,False,False,True,False,True,True,False,baseline_not_selectable; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260505T154327Z,30,official_monthly,momentum_90d,True,100,0.55,True,True,False,True,False,True,True,False,baseline_not_selectable; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260505T154327Z,30,official_monthly,random_permutation,True,100,0.45,False,False,False,False,False,True,True,False,baseline_not_selectable; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
btc_research_20260505T154327Z,30,official_monthly,logistic_linear,False,100,0.48,False,False,False,True,False,True,True,False,did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260505T154327Z,30,official_monthly,hgb,False,100,0.51,False,False,False,True,True,True,True,False,did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; low_reliability
btc_research_20260505T154327Z,30,official_monthly,random_forest,False,100,0.55,True,True,False,True,True,True,True,False,did_not_beat_90d_momentum; low_reliability
btc_research_20260505T154327Z,30,sensitivity_weekly,buy_hold_direction,True,432,0.5439814814814815,False,True,True,True,False,False,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260505T154327Z,30,sensitivity_weekly,momentum_30d,True,432,0.5162037037037037,False,False,True,True,False,True,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260505T154327Z,30,sensitivity_weekly,momentum_90d,True,432,0.4976851851851852,False,False,False,True,False,True,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
