run_id,horizon,window_type,model_name,derivatives_included,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,reliability_label
btc_research_20260511T151538Z,30,official_monthly,logistic_linear,False,186,100,0.46,0.4545818327330932,0.2862383732936363,0.14931386400310143,0.4262951647564748,-0.6737795388310328,1.0476655219776116,False,False,False,Low confidence
btc_research_20260511T151538Z,30,official_monthly,hgb,False,186,100,0.51,0.5060024009603842,0.2598749234274954,0.08888561597390705,0.6646590441432997,-0.45588676647540793,5.421542348362911,False,False,False,Low confidence
btc_research_20260511T151538Z,30,official_monthly,random_forest,False,186,100,0.49,0.48479391756702683,0.26297213722736285,0.09247719029350537,0.6334346024597713,-0.6658987767585575,4.636105742650327,False,False,False,Low confidence
btc_research_20260511T151538Z,30,official_monthly,logistic_linear,True,211,100,0.46,0.45898359343737494,0.2812647185845339,0.17386020147268627,0.28829479887580206,-0.665564341099657,0.14603032063623522,False,False,False,Low confidence
btc_research_20260511T151538Z,30,official_monthly,hgb,True,211,100,0.51,0.5064025610244097,0.25577828222450205,0.08725289387414276,0.633551431453791,-0.45588676647540793,4.468469230216188,False,False,False,Low confidence
btc_research_20260511T151538Z,30,official_monthly,random_forest,True,211,100,0.49,0.48559423769507803,0.25732505202132605,0.07848359606345574,0.49727851974760084,-0.6768829100920027,1.8585227442882166,False,False,False,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,logistic_linear,False,186,33,0.6060606060606061,0.5974264705882353,0.2486850398967438,0.1787124513033705,0.6245361622323773,-0.5780552757794195,10.108541392046659,True,True,True,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,hgb,False,186,33,0.48484848484848486,0.4797794117647059,0.3178077518735141,0.24753887403547242,0.3966355147411384,-0.4045643359713025,1.5556902966876,False,True,False,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,random_forest,False,186,33,0.6363636363636364,0.6341911764705883,0.23704540872013213,0.15702729388396364,0.5882691471032846,-0.3929342852965618,9.288414663896083,True,True,True,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,logistic_linear,True,211,33,0.6363636363636364,0.6286764705882353,0.23303050230209688,0.15567780314004714,0.6589030098409847,-0.5780552757794195,13.512959531458655,True,True,True,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,hgb,True,211,33,0.45454545454545453,0.4485294117647059,0.32347893135032574,0.27034368019271565,0.3762680936640194,-0.43833973726442976,1.1822577898751425,False,False,False,Low confidence
btc_research_20260511T151538Z,90,official_quarterly,random_forest,True,211,33,0.6060606060606061,0.6029411764705883,0.24812018430973426,0.17913267897686233,0.5675596123065874,-0.3929342852965618,7.785091477966873,True,True,True,Low confidence
