run_id,horizon,window_type,model_name,regime,n_samples,directional_accuracy,net_return,sharpe,max_drawdown,reliability_label
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,bull_market,55,0.5272727272727272,4.053524666691979,0.8318450922903503,-0.5665353183595743,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,bear_market,45,0.4888888888888889,0.8605697758486808,0.5748505511981511,-0.6326979205911218,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,high_volatility,34,0.4411764705882353,-0.09848902114232783,0.28883974512337096,-0.44379800467619757,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,low_volatility,66,0.5454545454545454,9.429640322591457,0.9537041757727069,-0.6474157715645641,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,high_rate,66,0.5,0.5997453704641966,0.4389759328246688,-0.6841876090333896,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,low_rate,34,0.5294117647058824,4.877457394125523,1.1919759567425723,-0.4294903282393202,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,pre_halving,24,0.5416666666666666,1.4427208313528417,0.9971819186843225,-0.42068156150883707,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,post_halving,24,0.625,6.624059379733719,1.8117226604684806,-0.3933768707482994,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,pre_etf,73,0.5068493150684932,2.9674591651172326,0.6622602531513189,-0.712253337992643,Low confidence
btc_research_20260504T121835Z,30,official_monthly,buy_hold_direction,post_etf,27,0.5185185185185185,1.3698883504639778,0.9909556446477077,-0.3636660737469384,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,bull_market,55,0.5272727272727272,1.3178040285725632,0.5890460460168817,-0.6340414808422684,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,bear_market,45,0.5111111111111111,2.3581528672966314,0.8410456138721084,-0.33332322072651266,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,high_volatility,34,0.4411764705882353,-0.33096734590055044,0.118046548349686,-0.4642960842535835,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,low_volatility,66,0.5606060606060606,10.634021443780878,1.1107349007502787,-0.3139432627015071,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,high_rate,66,0.5303030303030303,0.9584056064514292,0.48343336295920053,-0.5120982674797792,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,low_rate,34,0.5,2.9744270639043813,1.0075824716522053,-0.4294903282393202,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,pre_halving,24,0.5,0.9763729017086673,0.840038487485332,-0.42133170123539854,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,post_halving,24,0.5833333333333334,3.3754556504748594,1.4437591074285117,-0.3933768707482993,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,pre_etf,73,0.5068493150684932,2.982216158086013,0.6589831648015811,-0.5765065256518291,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,post_etf,27,0.5555555555555556,0.9545750244064262,0.9603743004519907,-0.21375602961730233,Low confidence
btc_research_20260504T121835Z,30,official_monthly,logistic_linear,bull_market,55,0.4727272727272727,1.490823071530953,0.6048082586297454,-0.5665353183595743,Low confidence
