run_id,asset_id,horizon,window_type,model_name,polymarket_included,n_features,n_polymarket_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,reliability_label,passes_official_gates
btc_research_20260512T102621Z,btc,30,official_monthly,logistic_linear,False,226,0,25,0.6,0.5897435897435898,0.2339008471433602,0.11850229855671326,1.1466947078471075,-0.045888004322177545,0.8436882630306801,True,True,True,True,Medium confidence,False
btc_research_20260512T102621Z,btc,30,official_monthly,hgb,False,226,0,25,0.44,0.44551282051282054,0.21626165571749176,0.10723379609554254,0.16604598571618118,-0.20164279202576174,0.027874011633882034,False,False,False,True,Low confidence,False
btc_research_20260512T102621Z,btc,30,official_monthly,random_forest,False,226,0,25,0.48,0.4935897435897436,0.23833969558935347,0.11097834367121755,0.6163884066667146,-0.3643024076731912,0.42215873436003726,False,True,False,True,Low confidence,False
btc_research_20260512T102621Z,btc,30,official_monthly,logistic_linear,True,242,16,25,0.6,0.5897435897435898,0.2339008471433602,0.11850229855671326,1.1466947078471075,-0.045888004322177545,0.8436882630306801,True,True,True,True,Medium confidence,False
btc_research_20260512T102621Z,btc,30,official_monthly,hgb,True,242,16,25,0.44,0.44551282051282054,0.21626165571749176,0.10723379609554254,0.16604598571618118,-0.20164279202576174,0.027874011633882034,False,False,False,True,Low confidence,False
btc_research_20260512T102621Z,btc,30,official_monthly,random_forest,True,242,16,25,0.48,0.4935897435897436,0.23833969558935347,0.11097834367121755,0.6163884066667146,-0.3643024076731912,0.42215873436003726,False,True,False,True,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,logistic_linear,False,226,0,8,0.75,0.75,0.18734831231257157,0.1791616293063553,0.609621234996865,-0.2220820546410578,0.4673031264295118,True,True,True,True,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,hgb,False,226,0,8,0.625,0.625,0.19105483065004025,0.11364343726362144,0.3158441071412029,-0.40456433597130237,0.12310638497201665,True,True,True,False,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,random_forest,False,226,0,8,0.875,0.875,0.10630598594083317,0.057457613319960715,0.9808751331949784,-0.11590156288596265,0.8843064773711129,True,True,True,True,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,logistic_linear,True,242,16,8,0.75,0.75,0.18734831231257157,0.1791616293063553,0.609621234996865,-0.2220820546410578,0.4673031264295118,True,True,True,True,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,hgb,True,242,16,8,0.625,0.625,0.19105483065004025,0.11364343726362144,0.3158441071412029,-0.40456433597130237,0.12310638497201665,True,True,True,False,Low confidence,False
btc_research_20260512T102621Z,btc,90,official_quarterly,random_forest,True,242,16,8,0.875,0.875,0.10630598594083317,0.057457613319960715,0.9808751331949784,-0.11590156288596265,0.8843064773711129,True,True,True,True,Low confidence,False
