run_id,feature_group,model_name,horizon,window_type,period_slice,n_samples,directional_accuracy,net_return,sharpe,max_drawdown,reliability_label
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,2024-present,27,0.6296296296296297,1.4364884264085607,1.277187643618939,-0.18136100314612258,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,pre-ETF,73,0.5068493150684932,3.8709785066384965,0.7064063415772431,-0.4848173186257232,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,post-ETF,27,0.6296296296296297,1.4364884264085607,1.277187643618939,-0.18136100314612258,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,high-rate,66,0.5303030303030303,0.607815711795521,0.41440854614725403,-0.4848173186257231,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,low-rate,34,0.5588235294117647,6.37562694719633,1.3164602410407484,-0.4294903282393202,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,high-vol,34,0.5294117647058824,0.20547629660530564,0.4309084995334406,-0.4294903282393202,Low confidence
btc_research_20260504T051147Z,all_features,random_forest,30,official_monthly,low-vol,66,0.5454545454545454,8.819567879461253,0.9991438582048331,-0.5054607681285623,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,2015-2017,1,0.0,-0.2800228469328355,,0.0,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,2018-2020,36,0.5833333333333334,2.643235216259449,1.00001366855454,-0.3324791596541081,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,2021-2023,36,0.5277777777777778,0.728095493188895,0.6192414784238763,-0.48181901255299253,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,2024-present,27,0.4444444444444444,0.3393638543286339,0.5276211246815162,-0.28110032481145,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,pre-ETF,73,0.547945205479452,3.531436676935934,0.7097061039214575,-0.48181901255299286,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,post-ETF,27,0.4444444444444444,0.3393638543286339,0.5276211246815162,-0.28110032481145,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,high-rate,66,0.5,0.3145788051507552,0.30536438524895787,-0.4476491135261268,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,low-rate,34,0.5588235294117647,3.6085891903666205,1.2419343304143895,-0.3324791596541081,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,high-vol,34,0.5,0.042674459845710944,0.24492563805440767,-0.2672912570771846,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_30d,30,official_monthly,low-vol,66,0.5303030303030303,4.803919065780067,0.8814301701425388,-0.35025749386750293,Low confidence
btc_research_20260504T051147Z,price_momentum_only,momentum_90d,30,official_monthly,2015-2017,1,0.0,-0.2800228469328355,,0.0,Low confidence
