run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_features,median_selected_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,selection_eligible,promotion_eligible,reliability_label,window_fingerprint,rejection_reason
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_risk_assets,momentum_30d,0,0.0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,False,True,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_risk_assets,momentum_90d,0,0.0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,False,True,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_risk_assets,random_permutation,0,0.0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,False,False,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_risk_assets,logistic_linear,64,17.0,100,0.56,0.5574229691876751,0.24141438358470857,0.06723523963905294,0.736389648493216,-0.49782560116933605,7.688630885618624,True,True,True,True,False,False,Low confidence,c07a00dcd6b31e8a,failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,buy_hold_direction,0,0.0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,False,True,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,momentum_30d,0,0.0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,False,True,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,momentum_90d,0,0.0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,False,True,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,random_permutation,0,0.0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,False,False,False,False,Low confidence,c07a00dcd6b31e8a,baseline_not_promotable; failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,logistic_linear,59,18.0,100,0.53,0.5264105642256903,0.24124803227235017,0.10740226512135218,0.6976368963009387,-0.74654840875319,6.786368918877407,True,True,False,True,False,False,Low confidence,c07a00dcd6b31e8a,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,hgb,59,18.0,100,0.45,0.4503801520608244,0.2579222142058865,0.1004559269022154,0.28461977234008123,-0.7126193132118571,0.2960686980718532,False,False,False,False,False,False,Low confidence,c07a00dcd6b31e8a,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability
