run_id,asset_id,feature_name,horizon,window_type,n_samples,coverage_pct,pearson_corr,spearman_corr,information_coefficient,ic_t_stat,ic_p_value,first_date,last_date,used_in_official_model,notes
btc_research_20260507T141045Z,btc,polymarket_downside_probability_z_30d,90,official_quarterly,2,0.06060606060606061,,,,,,2024-10-12,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_skew,90,official_quarterly,5,0.15151515151515152,-0.17687575115674717,-0.3,-0.3,-0.5447047794019222,0.5859565771946524,2024-10-03,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_skew_chg_7d,90,official_quarterly,5,0.15151515151515152,0.4096345959935538,0.6708203932499368,0.6708203932499368,1.5666989036012802,0.1171850871981382,2024-10-10,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_skew_z_30d,90,official_quarterly,2,0.06060606060606061,,,,,,2024-10-12,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_width,90,official_quarterly,5,0.15151515151515152,0.4459664007976901,0.7,0.7,1.6977493752543305,0.08955507441364266,2024-10-03,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_width_chg_7d,90,official_quarterly,5,0.15151515151515152,0.2921228504474757,0.6708203932499368,0.6708203932499368,1.5666989036012802,0.1171850871981382,2024-10-10,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_ladder_width_z_30d,90,official_quarterly,2,0.06060606060606061,,,,,,2024-10-12,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_market_count,90,official_quarterly,8,0.24242424242424243,-0.5152098404387013,-0.5611425419454066,-0.5611425419454066,-1.6606029281990786,0.09679322050317075,2024-03-01,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_market_count_chg_7d,90,official_quarterly,8,0.24242424242424243,-0.08540736460929957,-0.08247860988423225,-0.08247860988423225,-0.20272121351984576,0.8393529414453513,2024-03-08,2026-05-07,False,diagnostic_only_prediction_market_factor
btc_research_20260507T141045Z,btc,polymarket_market_count_z_30d,90,official_quarterly,4,0.12121212121212122,-0.9854791203025921,-1.0,-1.0,-999.9992499799355,0.0,2024-03-10,2026-05-07,False,diagnostic_only_prediction_market_factor
