run_id,horizon,window_type,is_official,model,test_start,test_end,sample_count,threshold,threshold_source,directional_accuracy,balanced_accuracy,brier_score,calibration_error,mae,rmse,gross_return,tc_adjusted_return,transaction_cost_bps,sharpe,max_drawdown,num_trades,turnover,buy_hold_directional_accuracy,buy_hold_tc_adjusted_return,momentum_30d_directional_accuracy,momentum_30d_tc_adjusted_return,momentum_90d_directional_accuracy,momentum_90d_tc_adjusted_return,random_directional_accuracy,random_tc_adjusted_return,beats_buy_hold_direction,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,useful_model,reliability_label,selection_eligible,notes
spx_research_20260511T075454Z,30,official_monthly,True,buy_hold_direction,2018-01-31,2026-03-31,99,0.5,baseline_rule,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.03811193960906164,0.0483026549721501,1.9921134588989888,1.988978789949468,10.0,0.8771803606234625,-0.2286959817450296,1,0.010101010101010102,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,True,True,True,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,official_monthly,True,momentum_30d,2018-01-31,2026-03-31,99,0.5,baseline_rule,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.05417890841169291,0.07208849742473966,0.6813318499155705,0.6120410222915575,10.0,0.5689946891115607,-0.31741157760765115,42,0.42424242424242425,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,False,False,True,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,official_monthly,True,momentum_90d,2018-01-31,2026-03-31,99,0.5,baseline_rule,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.0723342302144722,0.0931363621776679,0.9438992352269482,0.9055142452432181,10.0,0.7500194835872531,-0.13369693941996041,20,0.20202020202020202,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,False,False,True,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,official_monthly,True,random_permutation,2018-01-31,2026-03-31,99,0.5,baseline_rule,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.04018516267228256,0.04886403526500316,1.3565042832760184,1.2311672742501067,10.0,0.802706961300977,-0.21227793615865598,55,0.5555555555555556,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,False,False,False,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,official_monthly,True,logistic_linear,2018-01-31,2026-03-31,99,0.45707070707070707,nested_calibration,0.6464646464646465,0.4939365671641791,0.22984376934630915,0.1273402015204995,0.03765713551756645,0.048293875664461694,2.00886842803106,1.9823714807002504,10.0,0.8970956006589869,-0.22869598174502992,9,0.09090909090909091,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260511T075454Z,30,official_monthly,True,hgb,2018-01-31,2026-03-31,99,0.46616161616161617,nested_calibration,0.5959595959595959,0.48111007462686567,0.22319116427106692,0.1031277167798861,0.037747437568940403,0.047876283821253994,1.4847440928162112,1.4332930953671092,10.0,0.7799710364087228,-0.26961387759653566,21,0.21212121212121213,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260511T075454Z,30,official_monthly,True,random_forest,2018-01-31,2026-03-31,99,0.4696969696969697,nested_calibration,0.6363636363636364,0.5191231343283582,0.2304992145345854,0.10542919198735859,0.03824315817704842,0.04887319603268912,1.8696008667255355,1.827227712075762,10.0,0.886124405139142,-0.2294672857632849,15,0.15151515151515152,0.6767676767676768,1.988978789949468,0.5757575757575758,0.6120410222915575,0.5757575757575758,0.9055142452432181,0.5353535353535354,1.2311672742501067,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260511T075454Z,30,sensitivity_weekly,False,buy_hold_direction,2023-04-16,2026-04-05,156,0.5,baseline_rule,0.7243589743589743,0.5,0.27022820512820506,0.26564102564102565,0.029651793245437198,0.038933314903717056,13.149177078708849,13.13495168122955,10.0,3.330195186816559,-0.43850471256297896,1,0.00641025641025641,0.7243589743589743,13.13495168122955,0.6346153846153846,4.1220667059559615,0.6474358974358975,4.55647464621187,0.4935897435897436,1.9558422126673967,False,True,True,True,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,sensitivity_weekly,False,momentum_30d,2023-04-16,2026-04-05,156,0.5,baseline_rule,0.6346153846153846,0.5461000205803663,0.23307692307692307,0.1807692307692309,0.03823575703965203,0.05451599172528275,4.288285862612319,4.1220667059559615,10.0,2.997188330730816,-0.2538225405865606,32,0.20512820512820512,0.7243589743589743,13.13495168122955,0.6346153846153846,4.1220667059559615,0.6474358974358975,4.55647464621187,0.4935897435897436,1.9558422126673967,False,False,False,True,False,Low confidence,False,baseline
spx_research_20260511T075454Z,30,sensitivity_weekly,False,momentum_90d,2023-04-16,2026-04-05,156,0.5,baseline_rule,0.6474358974358975,0.4973245523770323,0.23051282051282052,0.1576923076923078,0.0640834915092072,0.08140423866610434,4.6004520975021,4.55647464621187,10.0,2.9817214993675263,-0.24360483785281983,8,0.05128205128205128,0.7243589743589743,13.13495168122955,0.6346153846153846,4.1220667059559615,0.6474358974358975,4.55647464621187,0.4935897435897436,1.9558422126673967,False,True,False,True,False,Low confidence,False,baseline
