run_id,date,horizon,window_type,model,signal,position,asset_return,btc_return,gross_strategy_return,tc_adjusted_strategy_return,equity_gross,equity_tc_adjusted,equity_buy_hold,trade_flag,turnover
spx_research_20260512T090323Z,2018-01-31,30,official_monthly,buy_hold_direction,long,1.0,-0.045477042515363775,-0.045477042515363775,-0.045477042515363775,-0.046477042515363776,0.9545229574846362,0.9535229574846362,0.9545229574846362,1,1.0
spx_research_20260512T090323Z,2018-02-28,30,official_monthly,buy_hold_direction,long,1.0,-0.027410504773391464,-0.027410504773391464,-0.027410504773391464,-0.027410504773391464,0.9283590014021919,0.9273864119069652,0.9283590014021919,0,0.0
spx_research_20260512T090323Z,2018-03-31,30,official_monthly,buy_hold_direction,long,1.0,0.005167992906017771,0.005167992906017771,0.005167992906017771,0.005167992906017771,0.9331567541356761,0.9321791383048377,0.9331567541356761,0,0.0
spx_research_20260512T090323Z,2018-04-30,30,official_monthly,buy_hold_direction,long,1.0,0.030622208031885645,0.030622208031885645,0.030622208031885645,0.030622208031885645,0.961732074387178,0.9607245218009923,0.961732074387178,0,0.0
spx_research_20260512T090323Z,2018-05-31,30,official_monthly,buy_hold_direction,long,1.0,0.005750966375720479,0.005750966375720479,0.005750966375720479,0.005750966375720479,0.9672629632094306,0.9662496162222,0.9672629632094306,0,0.0
spx_research_20260512T090323Z,2018-06-30,30,official_monthly,buy_hold_direction,long,1.0,0.03195976818446544,0.03195976818446544,0.03195976818446544,0.03195976818446544,0.9981764632870231,0.9971307299649902,0.9981764632870231,0,0.0
spx_research_20260512T090323Z,2018-07-31,30,official_monthly,buy_hold_direction,long,1.0,0.03188424039249704,0.03188424039249704,0.03188424039249704,0.03188424039249704,1.030002561596599,1.02892348586194,1.030002561596599,0,0.0
spx_research_20260512T090323Z,2018-08-31,30,official_monthly,buy_hold_direction,long,1.0,0.0059456251113190195,0.0059456251113190195,0.0059456251113190195,0.0059456251113190195,1.0361265706915508,1.0350410791771067,1.0361265706915508,0,0.0
spx_research_20260512T090323Z,2018-09-30,30,official_monthly,buy_hold_direction,long,1.0,-0.07894196857740832,-0.07894196857740832,-0.07894196857740832,-0.07894196857740832,0.9543326995058006,0.9533328988283808,0.9543326995058006,0,0.0
spx_research_20260512T090323Z,2018-10-31,30,official_monthly,buy_hold_direction,long,1.0,0.01854927968701703,0.01854927968701703,0.01854927968701703,0.01854927968701703,0.9720348836633996,0.9710165374035832,0.9720348836633996,0,0.0
spx_research_20260512T090323Z,2018-11-30,30,official_monthly,buy_hold_direction,long,1.0,-0.09596641947288154,-0.09596641947288154,-0.09596641947288154,-0.09596641947288154,0.8787521762754842,0.8778315570600059,0.8787521762754842,0,0.0
spx_research_20260512T090323Z,2018-12-31,30,official_monthly,buy_hold_direction,long,1.0,0.07066245940819949,0.07066245940819949,0.07066245940819949,0.07066245940819949,0.9408469662614175,0.9398612938279951,0.9408469662614175,0,0.0
spx_research_20260512T090323Z,2019-01-31,30,official_monthly,buy_hold_direction,long,1.0,0.03886196409152087,0.03886196409152087,0.03886196409152087,0.03886196409152087,0.9774101272798851,0.976386149679749,0.9774101272798851,0,0.0
spx_research_20260512T090323Z,2019-02-28,30,official_monthly,buy_hold_direction,long,1.0,0.018100264628643004,0.018100264628643004,0.018100264628643004,0.018100264628643004,0.9951015092343667,0.9940589973686943,0.9951015092343667,0,0.0
spx_research_20260512T090323Z,2019-03-31,30,official_monthly,buy_hold_direction,long,1.0,0.04085273908347298,0.04085273908347298,0.04085273908347298,0.04085273908347298,1.0357541315526884,1.0346690302217763,1.0357541315526884,0,0.0
spx_research_20260512T090323Z,2019-04-30,30,official_monthly,buy_hold_direction,long,1.0,-0.050983016914184276,-0.050983016914184276,-0.050983016914184276,-0.050983016914184276,0.9829482611448014,0.9819184815533968,0.9829482611448014,0,0.0
spx_research_20260512T090323Z,2019-05-31,30,official_monthly,buy_hold_direction,long,1.0,0.0695868634955008,0.0695868634955008,0.0695868634955008,0.0695868634955008,1.0513485476162245,1.0502471088929624,1.0513485476162245,0,0.0
spx_research_20260512T090323Z,2019-06-30,30,official_monthly,buy_hold_direction,long,1.0,0.026347818963148528,0.026347818963148528,0.026347818963148528,0.026347818963148528,1.079049288815986,1.0779188295846442,1.079049288815986,0,0.0
spx_research_20260512T090323Z,2019-07-31,30,official_monthly,buy_hold_direction,long,1.0,-0.016743278420875196,-0.016743278420875196,-0.016743278420875196,-0.016743278420875196,1.0609824661434926,1.0598709345058046,1.0609824661434926,0,0.0
spx_research_20260512T090323Z,2019-08-31,30,official_monthly,buy_hold_direction,long,1.0,0.019458216950692275,0.019458216950692275,0.019458216950692275,0.019458216950692275,1.0816272931505932,1.0804941330891515,1.0816272931505932,0,0.0
spx_research_20260512T090323Z,2019-09-30,30,official_monthly,buy_hold_direction,long,1.0,0.02483365153371686,0.02483365153371686,0.02483365153371686,0.02483365153371686,1.1084880484380526,1.107326747874513,1.1084880484380526,0,0.0
spx_research_20260512T090323Z,2019-10-31,30,official_monthly,buy_hold_direction,long,1.0,0.03619851482946834,0.03619851482946834,0.03619851482946834,0.03619851482946834,1.1486136694977258,1.1474103315785156,1.1486136694977258,0,0.0
spx_research_20260512T090323Z,2019-11-30,30,official_monthly,buy_hold_direction,long,1.0,0.026561475200239437,0.026561475200239437,0.026561475200239437,0.026561475200239437,1.1791225429947456,1.177887242645237,1.1791225429947456,0,0.0
spx_research_20260512T090323Z,2019-12-31,30,official_monthly,buy_hold_direction,long,1.0,0.018082345676040612,0.018082345676040612,0.018082345676040612,0.018082345676040612,1.2004438444115886,1.1991862069341463,1.2004438444115886,0,0.0
spx_research_20260512T090323Z,2020-01-31,30,official_monthly,buy_hold_direction,long,1.0,-0.07916537009769786,-0.07916537009769786,-0.07916537009769786,-0.07916537009769786,1.105410263187242,1.1042521870461501,1.105410263187242,0,0.0
spx_research_20260512T090323Z,2020-02-29,30,official_monthly,buy_hold_direction,long,1.0,-0.11163001506702608,-0.11163001506702608,-0.11163001506702608,-0.11163001506702608,0.982013298852405,0.9809844987683919,0.982013298852405,0,0.0
spx_research_20260512T090323Z,2020-03-31,30,official_monthly,buy_hold_direction,long,1.0,0.1269839981823493,0.1269839981823493,0.1269839981823493,0.1269839981823493,1.1067132738089216,1.10555383257691,1.1067132738089216,0,0.0
spx_research_20260512T090323Z,2020-04-30,30,official_monthly,buy_hold_direction,long,1.0,0.04764521978043956,0.04764521978043956,0.04764521978043956,0.04764521978043956,1.1594428709734774,1.1582281879091443,1.1594428709734774,0,0.0
spx_research_20260512T090323Z,2020-05-31,30,official_monthly,buy_hold_direction,long,1.0,0.017734089888344018,0.017734089888344018,0.017734089888344018,0.017734089888344018,1.1800045350677206,1.1787683107047389,1.1800045350677206,0,0.0
spx_research_20260512T090323Z,2020-06-30,30,official_monthly,buy_hold_direction,long,1.0,0.05059039889911254,0.05059039889911254,0.05059039889911254,0.05059039889911254,1.2397014351995586,1.2384026697529247,1.2397014351995586,0,0.0
spx_research_20260512T090323Z,2020-07-31,30,official_monthly,buy_hold_direction,long,1.0,0.07368621059279645,0.07368621059279645,0.07368621059279645,0.07368621059279645,1.3310503362258652,1.32965586967502,1.3310503362258652,0,0.0
spx_research_20260512T090323Z,2020-08-31,30,official_monthly,buy_hold_direction,long,1.0,-0.037443668998681456,-0.037443668998681456,-0.037443668998681456,-0.037443668998681456,1.2812109280156403,1.2798686754087547,1.2812109280156403,0,0.0
spx_research_20260512T090323Z,2020-09-30,30,official_monthly,buy_hold_direction,long,1.0,-0.02493353096602713,-0.02493353096602713,-0.02493353096602713,-0.02493353096602713,1.24926581566795,1.2479570301580023,1.24926581566795,0,0.0
