run_id,generated_at,horizon,window_type,is_official,model,rank,test_start,test_end,sample_count,directional_accuracy,balanced_accuracy,brier_score,calibration_error,mae,rmse,sharpe,max_drawdown,num_trades,turnover,tc_adjusted_return,beats_buy_hold_direction,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,useful_model,reliability_label,selection_eligible,notes
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,buy_hold_direction,1,2018-01-31,2026-03-31,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.038111953190901805,0.04830266118780416,0.8771810367488745,-0.22869588696173826,1,0.010101010101010102,1.9889818137590303,False,True,True,True,False,Low confidence,False,baseline
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,hgb,2,2018-01-31,2026-03-31,99,0.6565656565656566,0.5422108208955223,0.21360575773048845,0.10380145068896734,0.0368461528097828,0.04714560321332431,0.999709127638228,-0.21665075526633992,23,0.23232323232323232,2.164391794488123,False,True,True,True,False,Low confidence,False,
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,logistic_linear,3,2018-01-31,2026-03-31,99,0.6464646464646465,0.4939365671641791,0.2295211210851185,0.12642660142159037,0.03768452727304274,0.04829268829659204,0.8970956558461727,-0.22869588696173804,9,0.09090909090909091,1.9823719870195484,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,random_forest,4,2018-01-31,2026-03-31,99,0.6161616161616161,0.496035447761194,0.23523496431730645,0.13162601273309518,0.038354310197983854,0.049047811274816985,0.815492564308783,-0.22946719107477642,13,0.13131313131313133,1.5521711776393423,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,momentum_30d,5,2018-01-31,2026-03-31,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.054178957495674536,0.07208850176003537,0.5689954990186463,-0.31741165694489326,42,0.42424242424242425,0.6120428793032413,False,False,False,True,False,Low confidence,False,baseline
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,momentum_90d,6,2018-01-31,2026-03-31,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.07233424171401674,0.09313635226844108,0.7500200626419857,-0.13369701651785038,20,0.20202020202020202,0.9055159289264947,False,False,False,True,False,Low confidence,False,baseline
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,official_monthly,True,random_permutation,7,2018-01-31,2026-03-31,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.04018516686586499,0.048864045999438485,0.8027073828441781,-0.21227753012131723,55,0.5555555555555556,1.2311668937876576,False,False,False,False,False,Low confidence,False,baseline
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,sensitivity_weekly,False,buy_hold_direction,1,2023-05-07,2026-04-26,156,0.7307692307692307,0.5,0.26394615384615383,0.25923076923076926,0.030384414221575746,0.03951007756906871,3.485642058078326,-0.438504634634721,1,0.00641025641025641,15.52632666580049,False,True,True,True,False,Low confidence,False,baseline
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,sensitivity_weekly,False,logistic_linear,2,2023-05-07,2026-04-26,156,0.717948717948718,0.5213032581453634,0.2120703518353917,0.11302621700837062,0.03142153737881092,0.04077198584034456,3.2733510768055702,-0.4385046346347209,5,0.03205128205128205,11.643429054170033,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
spx_research_20260529T102518Z,2026-05-29T10:25:18+00:00,30,sensitivity_weekly,False,hgb,3,2023-05-07,2026-04-26,156,0.7115384615384616,0.5469924812030076,0.21123083703318452,0.08068959502198582,0.030818951846278544,0.039629076804917375,3.402062994747069,-0.4385046346347209,7,0.04487179487179487,12.231938957669874,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
