run_id,horizon,window_type,model,regime_name,regime_value,sample_count,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,tc_adjusted_return,beats_baselines,stable_regime_result
spx_research_20260507T190435Z,30,official_monthly,buy_hold_direction,trend,above_200d_sma,76,0.6710526315789473,0.5,0.3224684210526316,0.3189473684210524,0.8063321915582614,-0.21714825647475466,0.9315913936209956,False,False
spx_research_20260507T190435Z,30,official_monthly,buy_hold_direction,trend,below_200d_sma,23,0.6956521739130435,0.5,0.29836086956521735,0.2943478260869561,1.0833994615033216,-0.12280115884880682,0.5458777154609289,True,True
spx_research_20260507T190435Z,30,official_monthly,buy_hold_direction,volatility,high_vol,58,0.7068965517241379,0.5,0.28734137931034487,0.2831034482758622,1.023768019309168,-0.22869588013409614,1.2827405604206086,True,True
spx_research_20260507T190435Z,30,official_monthly,buy_hold_direction,volatility,low_vol,41,0.6341463414634146,0.5,0.3586365853658537,0.35585365853658546,0.6226867319321485,-0.15877790572694706,0.30803497127705315,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_30d,trend,above_200d_sma,76,0.6447368421052632,0.5517647058823529,0.2310526315789474,0.11315789473684201,0.8274096462302761,-0.26338596304673967,0.7224501162232237,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_30d,trend,below_200d_sma,23,0.34782608695652173,0.4107142857142857,0.29043478260869576,0.23478260869565212,-0.23793227432789218,-0.1370953755100477,-0.0639680093201318,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_30d,volatility,high_vol,58,0.5344827586206896,0.49856527977044474,0.25310344827586206,0.18965517241379304,0.4184785367987694,-0.2767937104412508,0.22960652986818775,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_30d,volatility,low_vol,41,0.6341463414634146,0.5564102564102564,0.23317073170731709,0.07317073170731703,0.8030651796392638,-0.1259001024060118,0.30846659989062486,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_90d,trend,above_200d_sma,76,0.6447368421052632,0.5109803921568628,0.2310526315789474,0.09210526315789469,0.8143479929802865,-0.1530234629905699,0.8282100213452683,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_90d,trend,below_200d_sma,23,0.34782608695652173,0.53125,0.29043478260869576,0.28695652173913033,0.7059236567716181,-0.0010000000000000009,0.04543939139031061,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_90d,volatility,high_vol,58,0.5517241379310345,0.5451936872309899,0.24965517241379312,0.19999999999999996,1.0914675504110734,-0.12493025652557022,0.6589354398397009,False,False
spx_research_20260507T190435Z,30,official_monthly,momentum_90d,volatility,low_vol,41,0.6097560975609756,0.4948717948717949,0.23804878048780487,0.04878048780487798,0.37682419366486447,-0.15877790572694706,0.14745501531512928,False,False
spx_research_20260507T190435Z,30,official_monthly,random_permutation,trend,above_200d_sma,76,0.5131578947368421,0.4945098039215686,0.2539999378120833,0.16883077312232897,0.6211835829118463,-0.1717827096371417,0.46583651039737806,False,False
spx_research_20260507T190435Z,30,official_monthly,random_permutation,trend,below_200d_sma,23,0.6086956521739131,0.5580357142857143,0.2339319315375513,0.1740664167144624,1.2340710904634649,-0.12458500416744256,0.5220713054878015,False,False
spx_research_20260507T190435Z,30,official_monthly,random_permutation,volatility,high_vol,58,0.5,0.45695839311334296,0.25367199396552853,0.19817692531912995,0.8035824680731894,-0.21227770907497223,0.6920270312292369,False,False
spx_research_20260507T190435Z,30,official_monthly,random_permutation,volatility,low_vol,41,0.5853658536585366,0.5743589743589743,0.2432061963190574,0.13025377251756332,0.8191386089395601,-0.1277222703155242,0.3159978151496996,False,False
spx_research_20260507T190435Z,30,official_monthly,logistic_linear,trend,above_200d_sma,76,0.631578947368421,0.49098039215686273,0.23781704893731848,0.14793183272602034,0.7610630990483495,-0.21714825647475444,0.8325943055161953,False,False
spx_research_20260507T190435Z,30,official_monthly,logistic_linear,trend,below_200d_sma,23,0.7391304347826086,0.5714285714285714,0.2041136145430847,0.06475532218781983,1.3867295181864516,-0.12280115884880693,0.7066732503652804,True,True
spx_research_20260507T190435Z,30,official_monthly,logistic_linear,volatility,high_vol,58,0.6551724137931034,0.4806312769010043,0.20620413550451716,0.12563130238861522,1.052486554530894,-0.22869588013409592,1.2771926714072297,False,False
spx_research_20260507T190435Z,30,official_monthly,logistic_linear,volatility,low_vol,41,0.6585365853658537,0.5474358974358975,0.2636309510845159,0.1345561742508263,0.740181424950533,-0.18216768405538764,0.3705541517099591,False,False
spx_research_20260507T190435Z,30,official_monthly,hgb,trend,above_200d_sma,76,0.6052631578947368,0.49176470588235294,0.21690692177022872,0.10789209853942301,0.777671435989889,-0.1717827096371416,0.8150565890796893,False,False
spx_research_20260507T190435Z,30,official_monthly,hgb,trend,below_200d_sma,23,0.5652173913043478,0.4464285714285714,0.22814213190442284,0.11673726173430776,0.8197773088810751,-0.1394483737316211,0.33673063370828826,False,False
spx_research_20260507T190435Z,30,official_monthly,hgb,volatility,high_vol,58,0.5517241379310345,0.4246771879483501,0.2132353945210859,0.09762782600878726,0.8656920602891959,-0.2696137840876006,0.914082409247138,False,False
spx_research_20260507T190435Z,30,official_monthly,hgb,volatility,low_vol,41,0.6585365853658537,0.5615384615384615,0.22840346844185674,0.12284587866691588,0.6266881611025229,-0.15877790572694706,0.26743721537580734,False,False
spx_research_20260507T190435Z,30,official_monthly,random_forest,trend,above_200d_sma,76,0.631578947368421,0.5113725490196078,0.23706378791050103,0.1300558045311276,0.8254439575963283,-0.15201851732455074,0.9129347609198175,False,False
spx_research_20260507T190435Z,30,official_monthly,random_forest,trend,below_200d_sma,23,0.5652173913043478,0.4464285714285714,0.22869995336042565,0.15587864570969098,0.8192661064065467,-0.12367835768995816,0.33015940146891776,False,False
spx_research_20260507T190435Z,30,official_monthly,random_forest,volatility,high_vol,58,0.6206896551724138,0.490674318507891,0.2160467061495819,0.14532839963327981,0.9700859141995349,-0.22946718425396195,1.0626805233401893,False,False
spx_research_20260507T190435Z,30,official_monthly,random_forest,volatility,low_vol,41,0.6097560975609756,0.5089743589743589,0.26210336223932007,0.1699196039802463,0.5374174341743224,-0.1967769291129069,0.23335770758398966,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,buy_hold_direction,trend,above_200d_sma,138,0.7246376811594203,0.5,0.2699550724637681,0.2653623188405797,3.3339200943583984,-0.2732456101040519,5.3608875664745534,True,True
spx_research_20260507T190435Z,30,sensitivity_weekly,buy_hold_direction,trend,below_200d_sma,18,0.7222222222222222,0.5,0.2723222222222222,0.26777777777777756,4.769010930275255,-0.2273933464461778,1.22010654364384,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,buy_hold_direction,volatility,high_vol,43,0.8372093023255814,0.5,0.15963488372093018,0.15279069767441877,4.265761627987226,-0.28490410993098525,2.0831810911445334,True,True
spx_research_20260507T190435Z,30,sensitivity_weekly,buy_hold_direction,volatility,low_vol,113,0.6814159292035398,0.5,0.312312389380531,0.3085840707964602,2.9408571768149763,-0.21479722519609534,3.5801071566630345,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_30d,trend,above_200d_sma,138,0.6594202898550725,0.536578947368421,0.22811594202898552,0.16666666666666663,2.9826240256672314,-0.2538222248390035,3.3363914535502923,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_30d,trend,below_200d_sma,18,0.4444444444444444,0.6153846153846154,0.27111111111111114,0.28888888888888886,3.0717325885399873,-0.001000000000000112,0.17883071109149018,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_30d,volatility,high_vol,43,0.7906976744186046,0.7599206349206349,0.20186046511627906,0.2930232558139535,6.565402186804318,-0.023560692521878646,1.3623483428175653,True,True
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_30d,volatility,low_vol,113,0.5752212389380531,0.49603174603174605,0.24495575221238938,0.1380530973451327,1.948314962020523,-0.2365817397180745,1.1596524793480092,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_90d,trend,above_200d_sma,138,0.6956521739130435,0.49631578947368415,0.22086956521739134,0.13623188405797104,3.2072364988024655,-0.24360467489486304,4.562048616044554,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_90d,trend,below_200d_sma,18,0.2777777777777778,0.5,0.30444444444444446,0.32222222222222213,,0.0,0.0,False,False
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_90d,volatility,high_vol,43,0.7441860465116279,0.7321428571428572,0.2111627906976744,0.30232558139534893,6.267836529678988,-0.023560692521878757,1.1811951181799847,True,True
spx_research_20260507T190435Z,30,sensitivity_weekly,momentum_90d,volatility,low_vol,113,0.6106194690265486,0.46284271284271283,0.2378761061946903,0.1026548672566373,2.1429389673252146,-0.22535346609642193,1.5424395261102775,False,False
