run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_features,median_selected_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,selection_eligible,promotion_eligible,reliability_label,window_fingerprint,rejection_reason
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,momentum_90d,0,0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,False,True,False,False,Low confidence,,baseline_not_promotable
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,momentum_30d,0,0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,False,True,False,False,Low confidence,,baseline_not_promotable
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,buy_hold_direction,0,0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,False,True,False,False,Low confidence,,baseline_not_promotable
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,hgb,226,226,100,0.49,0.48479391756702683,0.2560563391252545,0.0863012747559446,0.6900611837575048,-0.6600210373809917,6.890163535254784,False,False,False,True,False,False,Low confidence,,current_all_features_reference
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,random_forest,226,226,100,0.48,0.47539015606242496,0.27165955692609534,0.09625255119746853,0.6329663540568532,-0.665564341099657,4.860394345486732,False,False,False,True,False,False,Low confidence,,current_all_features_reference
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,logistic_linear,226,226,100,0.47,0.4683873549419768,0.26648357161017283,0.15599266603891032,0.5354005471242648,-0.665564341099657,2.5182833692814692,False,False,False,True,False,False,Low confidence,,current_all_features_reference
btc_research_20260529T094658Z,btc,30,official_monthly,all_features_official,random_permutation,0,0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,False,False,False,False,Low confidence,,baseline_not_promotable
