run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_samples,n_long_signals,n_neutral_signals,abstention_rate,long_hit_rate,long_avg_return,false_positive_rate,avg_probability_when_long,realized_return_when_long,brier_score,calibration_error,net_return,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,reliability_label
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,buy_hold_direction,100,100,0,0.0,0.51,0.0411035647619613,0.49,0.9899999999999999,8.415494608606334,0.48030000000000006,0.47999999999999987,8.40243525635288,0.41,0.60775,1.0,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,momentum_30d,100,49,51,0.51,0.5306122448979592,0.05448583443196412,0.46938775510204084,0.6000000000000001,5.396363323786197,0.256,0.01200000000000001,5.063173250773783,0.42,0.61,0.4302788844621514,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,momentum_90d,100,54,46,0.45999999999999996,0.5555555555555556,0.06317262375772767,0.4444444444444444,0.6000000000000001,8.61507042810863,0.25000000000000006,0.002000000000000224,8.404250921258626,0.45,0.63,0.23904382470119523,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,random_permutation,100,58,42,0.42000000000000004,0.46551724137931033,0.030217583581113185,0.5344827586206896,0.5722453371361744,0.818748693122588,0.2717284881146795,0.10810282848841117,0.7202328093197985,0.35,0.5577500000000001,0.896414342629482,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,logistic_linear,100,67,33,0.32999999999999996,0.47761194029850745,0.038090022358770084,0.5223880597014925,0.6329474458566229,2.6540220866443853,0.28730486031681535,0.1631899018972107,2.5695137635702205,0.36225,0.56,0.8446215139442231,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,buy_hold_direction,100,100,0,0.0,0.51,0.0411035647619613,0.49,0.9899999999999999,8.415494608606334,0.48030000000000006,0.47999999999999987,8.40243525635288,0.41,0.60775,1.0,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,momentum_30d,100,49,51,0.51,0.5306122448979592,0.05448583443196412,0.46938775510204084,0.6000000000000001,5.396363323786197,0.256,0.01200000000000001,5.063173250773783,0.42,0.61,0.4302788844621514,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,momentum_90d,100,54,46,0.45999999999999996,0.5555555555555556,0.06317262375772767,0.4444444444444444,0.6000000000000001,8.61507042810863,0.25000000000000006,0.002000000000000224,8.404250921258626,0.45,0.63,0.23904382470119523,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,random_permutation,100,58,42,0.42000000000000004,0.46551724137931033,0.030217583581113185,0.5344827586206896,0.5722453371361744,0.818748693122588,0.2717284881146795,0.10810282848841117,0.7202328093197985,0.35,0.5577500000000001,0.896414342629482,Low confidence
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,logistic_linear,100,63,37,0.37,0.5555555555555556,0.062062346213165205,0.4444444444444444,0.6728668000434076,12.342533798288745,0.23921544839127867,0.1022740235351358,12.110148174987366,0.46225,0.6577500000000001,0.1593625498007968,Medium confidence
