run_id,horizon,window_type,model_name,derivatives_included,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,reliability_label
btc_research_20260504T121835Z,30,official_monthly,logistic_linear,False,122,100,0.47,0.4647859143657463,0.2753328076941692,0.1372466988116615,0.5462853936222805,-0.665564341099657,2.7088250315935336,False,False,False,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,False,122,100,0.49,0.4851940776310524,0.2617916388486303,0.10452246423578343,0.7323410695953765,-0.5765065256518291,8.272456761279372,False,False,False,Low confidence
btc_research_20260504T121835Z,30,official_monthly,random_forest,False,122,100,0.51,0.505202080832333,0.2430408767598083,0.06778215423831291,0.702219820688145,-0.4848173186257232,7.1041190104651015,False,False,False,Low confidence
btc_research_20260504T121835Z,30,official_monthly,logistic_linear,True,134,100,0.48,0.4777911164465787,0.27515865692054364,0.12901630017114857,0.552640847250976,-0.665564341099657,2.85445572384656,False,False,False,Low confidence
btc_research_20260504T121835Z,30,official_monthly,hgb,True,134,100,0.52,0.5162064825930373,0.2602344209390522,0.09527740999192337,0.7007581732599935,-0.5765065256518291,6.78354024438263,True,False,False,Low confidence
btc_research_20260504T121835Z,30,official_monthly,random_forest,True,134,100,0.54,0.5354141656662665,0.24497459270002864,0.05719361007804324,0.780186822574659,-0.4848173186257232,10.868082756709548,True,True,False,Low confidence
btc_research_20260504T121835Z,90,official_quarterly,logistic_linear,False,122,33,0.42424242424242425,0.41911764705882354,0.272817186440905,0.14482492407290154,0.3878631029861615,-0.5344137795926776,1.533507442269935,False,False,False,Low confidence
btc_research_20260504T121835Z,90,official_quarterly,hgb,False,122,33,0.5757575757575758,0.5753676470588236,0.2676173919187258,0.15614059479024636,0.4481627108874336,-0.3943355442606493,2.2869609272966334,True,True,True,Low confidence
btc_research_20260504T121835Z,90,official_quarterly,random_forest,False,122,33,0.6363636363636364,0.6341911764705883,0.22311994016119444,0.1369975868504502,0.5882691471032846,-0.3929342852965618,9.288414663896083,True,True,True,Medium confidence
btc_research_20260504T121835Z,90,official_quarterly,logistic_linear,True,134,33,0.5151515151515151,0.5091911764705883,0.27271248439305923,0.16134135925401966,0.5826140849707931,-0.45367603417315006,6.621708946780728,False,True,False,Low confidence
btc_research_20260504T121835Z,90,official_quarterly,hgb,True,134,33,0.5454545454545454,0.5441176470588236,0.2736877703265402,0.14332747953962083,0.4075680683973989,-0.3943355442606493,1.5595454364741945,True,True,True,Low confidence
btc_research_20260504T121835Z,90,official_quarterly,random_forest,True,134,33,0.6363636363636364,0.6341911764705883,0.22758577716404338,0.15871217047594335,0.5882691471032846,-0.3929342852965618,9.288414663896083,True,True,True,Low confidence
