run_id,horizon,window_type,model_name,is_baseline,n_samples,directional_accuracy,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_calibration_check,passes_sample_threshold,passes_reliability_check,final_rejection_reason
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,buy_hold_direction,True,97,0.5463917525773195,False,False,False,True,False,False,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,momentum_30d,True,97,0.5567010309278351,True,False,False,True,False,True,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,momentum_90d,True,97,0.5567010309278351,True,False,False,True,False,True,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,random_permutation,True,97,0.5154639175257731,False,False,False,False,False,True,True,False,baseline_not_selectable; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,logistic_linear,False,97,0.4742268041237113,False,False,False,False,False,False,True,False,sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,hgb,False,97,0.5876288659793815,True,True,True,True,False,False,True,False,sensitivity_window_not_selection_eligible; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,90,sensitivity_overlapping_monthly,random_forest,False,97,0.6288659793814433,True,True,True,True,True,False,True,False,sensitivity_window_not_selection_eligible; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,buy_hold_direction,True,16,0.625,False,True,True,True,False,False,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,momentum_30d,True,16,0.4375,False,False,False,False,False,True,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,momentum_90d,True,16,0.5,False,True,False,False,False,True,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,random_permutation,True,16,0.5625,False,True,True,False,False,True,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,logistic_linear,False,16,0.5625,False,True,True,False,False,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_random_baseline; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,hgb,False,16,0.625,False,True,True,True,False,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
btc_research_20260425T145729Z,180,diagnostic_semiannual,random_forest,False,16,0.8125,True,True,True,True,True,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; failed_calibration_check; low_reliability
