run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_samples,official_30d_accuracy,brier_score,calibration_error,net_return,max_drawdown,improvement_vs_all_features_accuracy,improvement_vs_all_features_net_return,beats_baselines,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,promotion_decision,rejection_reason,reliability_label,report_label
btc_research_20260505T051934Z,btc,30,official_monthly,all_features_official,random_forest,100,0.54,0.24671800283539935,0.06630180859823216,10.868082756709548,-0.4848173186257232,0.0,0.0,False,0.44,0.63,0.2774451097804391,current_official_reference,,Low confidence,current_all_features
btc_research_20260505T051934Z,btc,30,official_monthly,all_features_official,hgb,100,0.52,0.26066405143483845,0.09561461296991883,6.78354024438263,-0.5765065256518291,0.0,0.0,False,0.43,0.62,0.4151696606786427,current_official_reference,does not beat baselines after transaction costs,Low confidence,current_all_features
btc_research_20260505T051934Z,btc,30,official_monthly,all_features_official,logistic_linear,100,0.47,0.2746214727644254,0.13373169417266223,2.4894843282754726,-0.665564341099657,0.0,0.0,False,0.38,0.57,0.7964071856287425,current_official_reference,does not beat baselines after transaction costs,Low confidence,current_all_features
btc_research_20260505T051934Z,btc,30,official_monthly,all_features,logistic_linear,100,0.46,0.28730486031681535,0.1631899018972107,2.5695137635702205,-0.6272154822028717,-0.009999999999999953,0.08002943529474793,False,0.36225,0.56,0.8446215139442231,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_momentum_only,logistic_linear,100,0.56,0.23921544839127867,0.1022740235351358,12.110148174987366,-0.5404726957345857,0.09000000000000008,9.620663846711892,True,0.46225,0.6577500000000001,0.1593625498007968,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_macro,logistic_linear,100,0.51,0.2839098517590424,0.14815599670410667,5.929303592335656,-0.6655643410996572,0.040000000000000036,3.4398192640601835,False,0.40225,0.61775,0.5617529880478087,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_risk_assets,logistic_linear,100,0.56,0.24141438358470857,0.06723523963905294,7.688630885618624,-0.49782560116933605,0.09000000000000008,5.199146557343151,True,0.47,0.66,0.19123505976095617,reject,failed_official_selection_gates; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,logistic_linear,100,0.53,0.24124803227235017,0.10740226512135218,6.786368918877407,-0.74654840875319,0.06000000000000005,4.296884590601934,False,0.43,0.62,0.350597609561753,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,hgb,100,0.45,0.2579222142058865,0.1004559269022154,0.2960686980718532,-0.7126193132118571,-0.07,-6.487471546310777,False,0.35225,0.55,0.8645418326693227,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_dollar_rates,random_forest,100,0.57,0.2504181297916401,0.09411214696051733,11.322736012172104,-0.50098131818362,0.029999999999999916,0.4546532554625564,True,0.47225,0.66,0.10358565737051793,reject,failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,price_plus_stablecoins,logistic_linear,100,0.57,0.23874692482335624,0.08141017199706582,13.218149029190716,-0.5404726957345857,0.09999999999999998,10.728664700915242,True,0.47225,0.66,0.10358565737051793,reject,failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,core_price_macro_risk,logistic_linear,100,0.53,0.26731329261123066,0.10469290533959086,5.284212383767266,-0.6589578307674477,0.06000000000000005,2.7947280554917935,False,0.44,0.61,0.3665338645418327,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,core_price_macro_risk,hgb,100,0.51,0.2516025726949816,0.07506253402177256,8.008437929341108,-0.5142357298030036,-0.010000000000000009,1.2248976849584778,False,0.42225,0.61,0.5378486055776892,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,core_price_macro_risk,random_forest,100,0.58,0.23944084330991194,0.10122268380899065,13.583181695335659,-0.4294903282393202,0.039999999999999925,2.7150989386261113,True,0.49,0.6777500000000001,0.06374501992031872,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,no_onchain,logistic_linear,100,0.56,0.2617600484029335,0.11090836175586531,7.4557044049697225,-0.6589578307674477,0.09000000000000008,4.96622007669425,True,0.47,0.65,0.14741035856573706,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,no_derivatives,logistic_linear,100,0.46,0.28730486031681535,0.1631899018972107,2.5695137635702205,-0.6272154822028717,-0.009999999999999953,0.08002943529474793,False,0.36225,0.56,0.8446215139442231,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,no_polymarket,logistic_linear,100,0.46,0.28730486031681535,0.1631899018972107,2.5695137635702205,-0.6272154822028717,-0.009999999999999953,0.08002943529474793,False,0.36225,0.56,0.8446215139442231,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_dollar_rates_cycle,logistic_linear,100,0.58,0.2262406653065603,0.07034922274960553,15.970658277912928,-0.4380501466152332,0.10999999999999999,13.481173949637455,True,0.4545,0.6777500000000001,0.08764940239043825,reject,failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_dollar_rates_cycle,hgb,100,0.54,0.24717444143672906,0.1344181537684162,12.739821039119562,-0.4465007352795788,0.020000000000000018,5.956280794736932,False,0.44,0.63,0.30677290836653387,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_dollar_rates_cycle,random_forest,100,0.57,0.23825922952985765,0.11708100006321638,15.034216690337107,-0.4294903282393202,0.029999999999999916,4.16613393362756,True,0.47,0.66,0.11952191235059761,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_core_dollar_derivatives_cycle,logistic_linear,100,0.53,0.24124803227235017,0.10740226512135218,6.786368918877407,-0.74654840875319,0.06000000000000005,4.296884590601934,False,0.43,0.62,0.350597609561753,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_core_dollar_derivatives_cycle,hgb,100,0.45,0.2579222142058865,0.1004559269022154,0.2960686980718532,-0.7126193132118571,-0.07,-6.487471546310777,False,0.35225,0.55,0.8645418326693227,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_core_dollar_derivatives_cycle,random_forest,100,0.57,0.25041812979164,0.0941121469605173,11.322736012172104,-0.50098131818362,0.029999999999999916,0.4546532554625564,True,0.47225,0.66,0.10358565737051793,reject,failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
btc_research_20260505T051934Z,btc,30,official_monthly,btc_no_sparse_derivatives,logistic_linear,100,0.46,0.28730486031681535,0.1631899018972107,2.5695137635702205,-0.6272154822028717,-0.009999999999999953,0.08002943529474793,False,0.36225,0.56,0.8446215139442231,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
