run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_samples,n_long_signals,n_neutral_signals,abstention_rate,long_hit_rate,long_avg_return,false_positive_rate,avg_probability_when_long,realized_return_when_long,brier_score,calibration_error,net_return,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,reliability_label
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,logistic_linear,36,24,12,0.33333333333333337,0.625,0.1392518217833019,0.375,0.6364010002956032,9.467886834050997,0.26718530530737516,0.08965964924931898,9.421268941717146,0.5,0.8055555555555556,0.04780876494023904,Medium confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,logistic_linear,36,14,22,0.6111111111111112,0.6428571428571429,0.17095326933731017,0.35714285714285715,0.652078022072686,3.971598372639435,0.21734467623176779,0.16985521231905734,3.9454625924411806,0.4722222222222222,0.7993055555555557,0.13147410358565736,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,logistic_linear,36,21,15,0.41666666666666663,0.6666666666666666,0.16057217602558257,0.3333333333333333,0.688929328567488,9.961530690628992,0.242313552955544,0.06814506969403751,9.871724942387761,0.5340277777777778,0.8611111111111112,0.035856573705179286,Medium confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,logistic_linear,36,21,15,0.41666666666666663,0.6666666666666666,0.13347298014476824,0.3333333333333333,0.6102720448564438,5.810110254976111,0.21781993009378164,0.07951990070349722,5.76400345246005,0.5555555555555556,0.8333333333333334,0.03187250996015936,Medium confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,logistic_linear,36,26,10,0.2777777777777778,0.5769230769230769,0.12149108743323228,0.4230769230769231,0.6569484963744652,7.139742404725187,0.255774386008234,0.07921422079903065,7.0687737114316835,0.4444444444444444,0.7777777777777778,0.1593625498007968,Medium confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,hgb,36,22,14,0.38888888888888884,0.5909090909090909,0.12284764959370588,0.4090909090909091,0.6170849383083671,5.416324016956684,0.25788308579345137,0.15679034075358889,5.367847135376666,0.45069444444444445,0.7777777777777778,0.13147410358565736,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,random_forest,36,21,15,0.41666666666666663,0.6190476190476191,0.1312972405695675,0.38095238095238093,0.6000698590858995,5.942280168525902,0.2211738321670319,0.022572029102822317,5.876557266973887,0.4722222222222222,0.8055555555555556,0.09163346613545817,Medium confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,momentum_90d,36,20,16,0.4444444444444444,0.55,0.12486659636835536,0.45,0.5999999999999999,3.499961919732357,0.2488888888888889,0.01111111111111085,3.4570607695235873,0.3611111111111111,0.7222222222222222,0.38247011952191234,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,random_permutation,36,22,14,0.38888888888888884,0.5454545454545454,0.09345037694381587,0.45454545454545453,0.5647975327672075,2.9448441556471785,0.2410178787433036,0.0860069206359218,2.8685137559533547,0.4166666666666667,0.6944444444444444,0.3745019920318725,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,logistic_linear,36,19,17,0.4722222222222222,0.5789473684210527,0.0755196408965164,0.42105263157894735,0.678911946211573,1.0253585260368685,0.2564583251629749,0.1616654909229505,1.010691479496776,0.4444444444444444,0.75,0.24701195219123506,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,core_price_macro_risk,buy_hold_direction,36,36,0,0.0,0.5,0.08216834039597867,0.5,0.9900000000000002,5.221430329652723,0.4901,0.4900000000000002,5.214781852389298,0.3333333333333333,0.6666666666666666,1.0,Low confidence
sol_research_20260505T055548Z,sol,30,official_monthly,core_price_macro_risk,momentum_30d,36,19,17,0.4722222222222222,0.47368421052631576,0.09744053679558175,0.5263157894736842,0.6,1.7816374488394002,0.2655555555555556,0.005555555555555425,1.727065075424163,0.31180555555555556,0.632638888888889,0.7569721115537849,Low confidence
