run_id,asset_id,candidate_feature_set,model_name,period_slice,n_samples,directional_accuracy,brier_score,calibration_error,net_return,sharpe,max_drawdown,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,reliability_label,passes_stability_check
sol_research_20260505T162108Z,sol,all_features,random_forest,2023-2024,21,0.7142857142857143,0.2265134338328904,0.08229502078922908,14.210511132637468,2.059743409303784,-0.37414764304773196,0.5238095238095238,0.8940476190476193,0.15139442231075698,Low confidence,False
sol_research_20260505T162108Z,sol,all_features,random_forest,2024-present,27,0.6666666666666666,0.21373182277484942,0.05991581524525352,1.185681023441063,0.8173678972430728,-0.37414764304773196,0.48148148148148145,0.8518518518518519,0.055776892430278883,Low confidence,False
sol_research_20260505T162108Z,sol,all_features,random_forest,high-vol,1,1.0,0.196410123966942,0.443181818181818,0.18384021198008682,,0.0,1.0,1.0,1.0,Low confidence,False
sol_research_20260505T162108Z,sol,all_features,random_forest,low-vol,35,0.6857142857142857,0.21551983816854348,0.0641877301497945,9.252018194524101,1.3072110384735185,-0.37414764304773196,0.5428571428571428,0.8285714285714286,0.01195219123505976,Medium confidence,True
sol_research_20260505T162108Z,sol,all_features,random_forest,BTC-up,23,0.6956521739130435,0.20915505718795183,0.08794529380948364,5.350937588444045,1.4572462326528675,-0.41397022739406397,0.4880434782608696,0.8695652173913043,0.06374501992031872,Low confidence,False
sol_research_20260505T162108Z,sol,all_features,random_forest,BTC-down,13,0.6923076923076923,0.22531062650331324,0.06474658062731611,0.9094804174202291,1.1267345144909977,-0.19928904176135653,0.46153846153846156,0.9230769230769231,0.250996015936255,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,2023-2024,21,0.7142857142857143,0.20932229476599198,0.17872448589996437,11.818994972435359,1.9491707906251914,-0.37414764304773196,0.47619047619047616,0.8571428571428571,0.12350597609561753,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,2024-present,27,0.5925925925925926,0.21239435987268454,0.12263949310596056,1.1029182950403587,0.7920834475882448,-0.37414764304773196,0.4074074074074074,0.7777777777777778,0.18326693227091634,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,high-vol,1,1.0,0.1847951368233193,0.42987804878048763,0.18384021198008682,,0.0,1.0,1.0,1.0,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,low-vol,35,0.6285714285714286,0.21451906861660996,0.0937063311971167,7.312949741579953,1.2216388941567118,-0.37414764304773196,0.45714285714285713,0.7935714285714288,0.07569721115537849,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,BTC-up,23,0.5652173913043478,0.23063989331378607,0.1075519601032857,3.3334383428165717,1.2262973979877465,-0.4139702273940641,0.34782608695652173,0.7391304347826086,0.4302788844621514,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_risk_assets,logistic_linear,BTC-down,13,0.7692307692307693,0.18371115324519918,0.0350863131275339,1.2714371807488796,1.3950709783538167,-0.15726922817205768,0.5384615384615384,1.0,0.05976095617529881,Medium confidence,True
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,2023-2024,21,0.6190476190476191,0.230639443580263,0.08617026768011728,6.665091701591137,1.6527518007815831,-0.37414764304773196,0.39166666666666666,0.8095238095238095,0.44223107569721115,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,2024-present,27,0.6296296296296297,0.2833795614754826,0.1780246013189245,0.9539948041882447,0.7514120458006661,-0.37414764304773196,0.4444444444444444,0.8148148148148148,0.07171314741035857,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,high-vol,1,1.0,0.1885843081855843,0.43426294820717126,0.18384021198008682,,0.0,1.0,1.0,1.0,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,low-vol,35,0.6,0.28169176070907725,0.16150093027639686,3.618697697843432,0.992826336158332,-0.3974373852716371,0.435,0.7428571428571429,0.13545816733067728,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,BTC-up,23,0.5652173913043478,0.24438959598440008,0.07952036728344886,2.229926580241409,1.0793688770466736,-0.4139702273940641,0.35760869565217396,0.7391304347826086,0.4701195219123506,Low confidence,False
sol_research_20260505T162108Z,sol,price_plus_macro,logistic_linear,BTC-down,13,0.6923076923076923,0.3405257865663144,0.3838630293977935,0.6959817878062617,0.9596013572647893,-0.28881637639189284,0.46153846153846156,0.9230769230769231,0.18725099601593626,Low confidence,False
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,2023-2024,21,0.6190476190476191,0.2343736202437185,0.13810235381152342,9.3697633606166,1.7944973096099572,-0.37414764304773196,0.39166666666666666,0.8095238095238095,0.49800796812749004,Low confidence,False
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,2024-present,27,0.7037037037037037,0.24156799130794188,0.09882230623694097,2.1206467359750043,1.0649587790594484,-0.37414764304773196,0.5555555555555556,0.8888888888888888,0.043824701195219126,Medium confidence,True
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,high-vol,1,0.0,0.27589021528415475,0.5252525252525253,0.0,,0.0,0.0,0.0,1.0,Low confidence,False
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,low-vol,35,0.6857142857142857,0.23925789044602683,0.10163020651447519,10.823662314327255,1.3871790426016515,-0.37414764304773196,0.5142857142857142,0.8285714285714286,0.035856573705179286,Medium confidence,True
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,BTC-up,23,0.6086956521739131,0.23462487316355307,0.07325432213559582,3.9793859025574223,1.313025565940297,-0.41397022739406397,0.43478260869565216,0.782608695652174,0.250996015936255,Low confidence,False
sol_research_20260505T162108Z,sol,sol_dollar_rates_only,random_forest,BTC-down,13,0.7692307692307693,0.2502726383179518,0.2681982872313876,1.3768990883114065,1.5377407333966473,-0.0028403137632339037,0.5384615384615384,1.0,0.09163346613545817,Medium confidence,True
