run_id,asset_id,horizon,window_type,model_name,polymarket_included,n_features,n_polymarket_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,reliability_label,passes_official_gates
sol_research_20260511T154021Z,sol,30,official_monthly,logistic_linear,False,181,0,18,0.6666666666666666,0.6753246753246753,0.2630681880482845,0.2721202885290599,0.4730127379117017,-0.34999420162664596,0.20802387801519817,True,True,False,True,Low confidence,False
sol_research_20260511T154021Z,sol,30,official_monthly,hgb,False,181,0,18,0.6111111111111112,0.6298701298701299,0.24752926662592356,0.22049328578372945,0.3869245992626901,-0.34999420162664596,0.12097395516171172,True,False,False,False,Low confidence,False
sol_research_20260511T154021Z,sol,30,official_monthly,random_forest,False,181,0,18,0.5555555555555556,0.5584415584415584,0.2484993301376857,0.15088943577395636,0.18448112470422245,-0.34999420162664596,-0.04617757846938508,True,False,False,False,Low confidence,False
sol_research_20260511T154021Z,sol,30,official_monthly,logistic_linear,True,197,16,18,0.6666666666666666,0.6753246753246753,0.2630681880482845,0.2721202885290599,0.4730127379117017,-0.34999420162664596,0.20802387801519817,True,True,False,True,Low confidence,False
sol_research_20260511T154021Z,sol,30,official_monthly,hgb,True,197,16,18,0.6111111111111112,0.6298701298701299,0.24752926662592356,0.22049328578372945,0.3869245992626901,-0.34999420162664596,0.12097395516171172,True,False,False,False,Low confidence,False
sol_research_20260511T154021Z,sol,30,official_monthly,random_forest,True,197,16,18,0.5555555555555556,0.5584415584415584,0.24849933013768594,0.1508894357739561,0.18448112470422245,-0.34999420162664596,-0.04617757846938508,True,False,False,False,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,logistic_linear,False,181,0,5,0.8,0.8333333333333333,0.31753501458915995,0.532168572148442,0.373171786630428,-0.001000000000000112,0.10299780979880113,True,True,True,True,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,hgb,False,181,0,5,0.6,0.5833333333333333,0.19236387211968248,0.20231256102245068,-0.21727079421690565,-0.0010000000000000009,-0.1899459396764268,True,True,True,False,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,random_forest,False,181,0,5,0.8,0.8333333333333333,0.2352437024916722,0.15718837185779239,0.373171786630428,-0.001000000000000112,0.10299780979880113,True,True,True,True,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,logistic_linear,True,197,16,5,0.8,0.8333333333333333,0.31753501458915995,0.532168572148442,0.373171786630428,-0.001000000000000112,0.10299780979880113,True,True,True,True,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,hgb,True,197,16,5,0.6,0.5833333333333333,0.19236387211968248,0.20231256102245068,-0.21727079421690565,-0.0010000000000000009,-0.1899459396764268,True,True,True,False,Low confidence,False
sol_research_20260511T154021Z,sol,90,official_quarterly,random_forest,True,197,16,5,0.8,0.8333333333333333,0.2352437024916722,0.15718837185779239,0.373171786630428,-0.001000000000000112,0.10299780979880113,True,True,True,True,Low confidence,False
