run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_samples,official_30d_accuracy,brier_score,calibration_error,net_return,max_drawdown,improvement_vs_all_features_accuracy,improvement_vs_all_features_net_return,beats_baselines,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,promotion_decision,rejection_reason,reliability_label,report_label
sol_research_20260505T055548Z,sol,30,official_monthly,all_features_official,random_forest,36,0.6944444444444444,0.2149890127740546,0.07471534370623958,11.147003410823643,-0.37414764304773196,0.0,0.0,True,0.5555555555555556,0.8333333333333334,0.007984031936127744,current_official_reference,,Medium confidence,current_all_features
sol_research_20260505T055548Z,sol,30,official_monthly,all_features_official,logistic_linear,36,0.6111111111111112,0.2504991631764728,0.1276873912628601,6.478849559056616,-0.443545577608937,0.0,0.0,True,0.4444444444444444,0.7777777777777778,0.13373253493013973,current_official_reference,,Medium confidence,current_all_features
sol_research_20260505T055548Z,sol,30,official_monthly,all_features_official,hgb,36,0.6111111111111112,0.2524088808118325,0.13611050992996956,2.684057288311563,-0.37414764304773196,0.0,0.0,True,0.4722222222222222,0.7777777777777778,0.1536926147704591,current_official_reference,does not beat baselines after transaction costs,Low confidence,current_all_features
sol_research_20260505T055548Z,sol,30,official_monthly,all_features,logistic_linear,36,0.6666666666666666,0.26718530530737516,0.08965964924931898,9.421268941717146,-0.37414764304773196,0.05555555555555547,2.94241938266053,True,0.5,0.8055555555555556,0.04780876494023904,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,price_momentum_only,logistic_linear,36,0.6111111111111112,0.21734467623176779,0.16985521231905734,3.9454625924411806,-0.37414764304773196,0.0,-2.533386966615436,True,0.4722222222222222,0.7993055555555557,0.13147410358565736,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_macro,logistic_linear,36,0.6944444444444444,0.242313552955544,0.06814506969403751,9.871724942387761,-0.37414764304773196,0.08333333333333326,3.3928753833311447,True,0.5340277777777778,0.8611111111111112,0.035856573705179286,reject,did_not_improve_current_all_features_without_material_metric_worsening,Medium confidence,promising_but_rejected
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_risk_assets,logistic_linear,36,0.6944444444444444,0.21781993009378164,0.07951990070349722,5.76400345246005,-0.37414764304773196,0.08333333333333326,-0.7148461065965668,True,0.5555555555555556,0.8333333333333334,0.03187250996015936,reject,did_not_improve_current_all_features_without_material_metric_worsening,Medium confidence,promising_but_rejected
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,logistic_linear,36,0.6111111111111112,0.255774386008234,0.07921422079903065,7.0687737114316835,-0.4695264583108999,0.0,0.5899241523750671,True,0.4444444444444444,0.7777777777777778,0.1593625498007968,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,hgb,36,0.6111111111111112,0.25788308579345137,0.15679034075358889,5.367847135376666,-0.37414764304773196,0.0,2.6837898470651025,True,0.45069444444444445,0.7777777777777778,0.13147410358565736,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_dollar_rates,random_forest,36,0.6388888888888888,0.2211738321670319,0.022572029102822317,5.876557266973887,-0.37414764304773196,-0.05555555555555558,-5.270446143849757,True,0.4722222222222222,0.8055555555555556,0.09163346613545817,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,price_plus_stablecoins,logistic_linear,36,0.5833333333333334,0.2564583251629749,0.1616654909229505,1.010691479496776,-0.5502842630497617,-0.02777777777777779,-5.46815807955984,True,0.4444444444444444,0.75,0.24701195219123506,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,core_price_macro_risk,logistic_linear,36,0.6666666666666666,0.2463676379259018,0.0611587473036557,8.631986289867287,-0.37414764304773196,0.05555555555555547,2.1531367308106706,True,0.5277777777777778,0.8333333333333334,0.043824701195219126,reject,did_not_improve_current_all_features_without_material_metric_worsening,Medium confidence,promising_but_rejected
sol_research_20260505T055548Z,sol,30,official_monthly,core_price_macro_risk,hgb,36,0.5555555555555556,0.24715430672163308,0.050982013350070576,4.316464666275909,-0.408472910168195,-0.05555555555555558,1.6324073779643458,False,0.3888888888888889,0.7222222222222222,0.3346613545816733,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,core_price_macro_risk,random_forest,36,0.5555555555555556,0.24409758685079647,0.08806099966950653,2.447687520636997,-0.37577249540468427,-0.13888888888888884,-8.699315890186647,False,0.3888888888888889,0.7222222222222222,0.3665338645418327,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,no_onchain,logistic_linear,36,0.6666666666666666,0.26718530530737516,0.08965964924931898,9.421268941717146,-0.37414764304773196,0.05555555555555547,2.94241938266053,True,0.5,0.8055555555555556,0.04780876494023904,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,no_derivatives,logistic_linear,36,0.6666666666666666,0.26718530530737516,0.08965964924931898,9.421268941717146,-0.37414764304773196,0.05555555555555547,2.94241938266053,True,0.5,0.8055555555555556,0.04780876494023904,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,no_polymarket,logistic_linear,36,0.6666666666666666,0.26718530530737516,0.08965964924931898,9.421268941717146,-0.37414764304773196,0.05555555555555547,2.94241938266053,True,0.5,0.8055555555555556,0.04780876494023904,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_rates_risk_price,logistic_linear,36,0.6111111111111112,0.2626183137095764,0.09349513959599307,5.347183127093615,-0.37414764304773196,0.0,-1.1316664319630014,True,0.4444444444444444,0.7777777777777778,0.13545816733067728,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_rates_risk_price,hgb,36,0.6388888888888888,0.26772558122705564,0.12488332843862279,5.8126948566934695,-0.37414764304773196,0.02777777777777768,3.1286375683819063,True,0.4722222222222222,0.8055555555555556,0.08764940239043825,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_rates_risk_price,random_forest,36,0.6111111111111112,0.25048608574213754,0.05503385464473541,8.84993236179277,-0.37414764304773196,-0.08333333333333326,-2.2970710490308726,True,0.4444444444444444,0.7777777777777778,0.16733067729083664,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_dollar_rates_only,logistic_linear,36,0.6111111111111112,0.25825041756388256,0.16727419084449557,8.39503402366297,-0.37414764304773196,0.0,1.9161844646063528,True,0.4444444444444444,0.7777777777777778,0.13545816733067728,reject,failed_official_selection_gates; did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check; low_reliability,Low confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_dollar_rates_only,hgb,36,0.5833333333333334,0.26133837146215805,0.1269697134332013,5.350084513228922,-0.40758705351176416,-0.02777777777777779,2.666027224917359,True,0.4166666666666667,0.75,0.17928286852589642,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
sol_research_20260505T055548Z,sol,30,official_monthly,sol_dollar_rates_only,random_forest,36,0.6666666666666666,0.2263130053473183,0.10892672838976716,7.673487393963535,-0.37414764304773196,-0.02777777777777779,-3.473516016860108,True,0.5,0.8270833333333335,0.02390438247011952,reject,did_not_improve_current_all_features_without_material_metric_worsening; failed_bootstrap_or_permutation_stability_check,Medium confidence,promising_but_unstable
