run_id,asset_id,candidate_feature_set,model_name,audit_scope,filter_name,filter_selection_basis,selection_window_end,test_window_start,test_window_end,leakage_check_passed,official_sample_count,active_signal_count,active_coverage,active_hit_rate,directional_accuracy,brier_score,calibration_error,after_cost_return,max_drawdown,bootstrap_ci_low,permutation_p_value,regime_concentration_score,best_regime,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_active_coverage_floor,passes_bootstrap_gate,passes_permutation_gate,passes_regime_stability_gate,promotion_eligible,rescue_decision,failed_gates,rejection_reason,generated_at
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,rates_rising,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,45,0.45454545454545453,0.6888888888888889,0.6888888888888889,0.2280351483933624,0.0496878733534688,1.1796181783697577,-0.09435251501112096,0.5383333333333333,1.0,0.5732321551751532,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,rates_rising,rolling_train_calibration_only,2026-01-31,2018-01-31,2026-03-31,True,99,25,0.25252525252525254,0.68,0.68,0.22578197236419112,0.09281274426613263,0.638486971163275,-0.10252774552212474,0.48,1.0,1.0,2024-present,True,True,True,True,True,True,False,False,False,False,not_deployable,bootstrap_lower_bound; permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,rates_falling,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,42,0.42424242424242425,0.7142857142857143,0.7142857142857143,0.1968350559075762,0.0789001115212176,0.3890127794922613,-0.18958352577037396,0.5952380952380952,1.0,1.0,2020-2021,True,True,True,True,True,True,True,False,False,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value; regime_stability,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,rates_falling,rolling_train_calibration_only,2025-10-31,2018-01-31,2026-03-31,True,99,38,0.3838383838383838,0.6842105263157895,0.6842105263157895,0.2104832380651283,0.11433967677621804,0.3314952854945039,-0.18958352577037407,0.5526315789473685,1.0,1.0,2020-2021,True,True,True,True,True,True,True,False,False,False,not_deployable,permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,2020-2021,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,22,0.2222222222222222,0.7272727272727273,0.7272727272727273,0.1943537248852557,0.08951607518844695,0.7461965558268817,-0.08108560307373447,0.5556818181818182,1.0,1.0,2020-2021,True,True,True,True,True,True,True,False,False,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value; regime_stability; material_calibration_worsening,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,2020-2021,rolling_train_calibration_only,2021-11-30,2018-01-31,2026-03-31,True,99,15,0.15151515151515152,0.7333333333333333,0.7333333333333333,0.18436947812848636,0.13587536938869887,0.45631235697265127,-0.04660524094573326,0.5333333333333333,1.0,1.0,2020-2021,True,True,True,True,True,False,True,False,False,False,not_deployable,active_coverage_floor; permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,2022-2023,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,22,0.2222222222222222,0.5909090909090909,0.5909090909090909,0.2646902107844291,0.14055597232410133,0.07062566828340322,-0.19182049734480866,0.36363636363636365,1.0,1.0,2022-2023,True,True,True,True,True,True,False,False,False,False,diagnostic_only,final_test_ranked; leakage_check; bootstrap_lower_bound; permutation_p_value; regime_stability; material_brier_worsening; material_calibration_worsening,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,2022-2023,rolling_train_calibration_only,2023-11-30,2018-01-31,2026-03-31,True,99,4,0.04040404040404041,0.5,0.5,0.24446385385610975,0.2851278230849341,-0.0048861068075647385,-0.06248068648758098,0.0,1.0,1.0,2022-2023,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,2024-present,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,27,0.2727272727272727,0.7037037037037037,0.7037037037037037,0.20785850500568,0.035415023732039114,0.5066712867256797,-0.08369404399244207,0.5268518518518519,1.0,1.0,2024-present,True,True,True,True,True,True,True,False,False,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value; regime_stability,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,2024-present,rolling_train_calibration_only,2026-02-28,2018-01-31,2026-03-31,True,99,19,0.1919191919191919,0.6842105263157895,0.6842105263157895,0.20685963191222304,0.038844280727925555,0.2761816982848355,-0.08369404399244207,0.42105263157894735,1.0,1.0,2024-present,True,True,True,True,True,False,False,False,False,False,not_deployable,active_coverage_floor; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
