run_id,horizon,window_type,model_name,regime,n_samples,directional_accuracy,net_return,sharpe,max_drawdown,reliability_label
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,bull_market,76,0.6710526315789473,0.9315915412236755,0.806331918845873,-0.21714802953330892,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,bear_market,23,0.6956521739130435,0.5474176644002828,1.0857814854645775,-0.12280123249421804,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,high_volatility,58,0.7068965517241379,1.285092008699427,1.025167676840426,-0.22869556026725513,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,low_volatility,41,0.6341463414634146,0.3080343635689653,0.6226860821830194,-0.1587783372934658,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,high_rate,65,0.6615384615384615,0.646572819264317,0.6427338962020513,-0.23329954368230388,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,low_rate,34,0.7058823529411765,0.815272811700577,1.2997607954471613,-0.1819583612973592,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,pre_halving,24,0.7083333333333334,0.48025855784510085,1.1607254380885195,-0.1819583612973592,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,post_halving,24,0.6666666666666666,0.5684134226077879,1.7750090630241855,-0.0819525025143828,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,pre_etf,72,0.6666666666666666,0.9819613721541289,0.7265938384940084,-0.22869556026725524,Low confidence
spx_research_20260507T144238Z,30,official_monthly,buy_hold_direction,post_etf,27,0.7037037037037037,0.5080913852761217,1.4294667172230149,-0.08369404399244196,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,bull_market,76,0.6052631578947368,0.8167392580634403,0.7784561039731123,-0.17101517908079367,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,bear_market,23,0.6086956521739131,0.4030696416569115,0.937984376276061,-0.13859360908156493,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,high_volatility,58,0.5689655172413793,1.009143862339955,0.9222188665949208,-0.26961363812896977,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,low_volatility,41,0.6585365853658537,0.26870541606035214,0.6291544276665443,-0.1587783372934658,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,high_rate,65,0.6153846153846154,0.5749221388923569,0.6500250440775377,-0.2338642792451362,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,low_rate,34,0.5882352941176471,0.6185001384181674,1.0852171980881342,-0.1819583612973592,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,pre_halving,24,0.5416666666666666,0.26104113710730115,0.7837481992571909,-0.1819583612973592,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,post_halving,24,0.625,0.5170126245684821,1.6405393338750331,-0.08195250251438269,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,pre_etf,72,0.5694444444444444,0.690223632786291,0.6240237843095972,-0.26961363812896977,Low confidence
spx_research_20260507T144238Z,30,official_monthly,hgb,post_etf,27,0.7037037037037037,0.5080913852761217,1.4294667172230149,-0.08369404399244196,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,bull_market,76,0.618421052631579,0.7473380886414642,0.6991667032712282,-0.21714802953330892,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,bear_market,23,0.7391304347826086,0.7068083337010387,1.3880766184369897,-0.12280123249421815,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,high_volatility,58,0.6551724137931034,1.2821081014506133,1.0560236783519867,-0.22869556026725535,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,low_volatility,41,0.6341463414634146,0.3068492283913995,0.6268589217196959,-0.18134919353458745,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,high_rate,65,0.676923076923077,0.8294969606631084,0.7896954228737539,-0.23302350907724811,Low confidence
spx_research_20260507T144238Z,30,official_monthly,logistic_linear,low_rate,34,0.5882352941176471,0.6301591506364259,1.0748087897506522,-0.18273329856412057,Low confidence
