run_id,horizon,window_type,feature_group,model_name,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum,reliability_label
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,logistic_linear,34,99,0.6060606060606061,0.5212220149253731,0.2267696496879092,0.09318470058054061,0.8772241362691005,-0.2286959817450296,1.7208262299421904,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,hgb,34,99,0.6262626262626263,0.5034981343283582,0.2130310464156732,0.10826332209181441,0.7975927922069083,-0.22869598174502992,1.4979087607261081,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,price_momentum_only,random_forest,34,99,0.6767676767676768,0.5408115671641791,0.22130716622692956,0.055794422815341554,0.8854207352435145,-0.2286959817450296,1.8417855525976767,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,logistic_linear,18,99,0.6464646464646465,0.5020988805970149,0.23573728793182794,0.06914905117013927,0.9752016918083358,-0.2286959817450298,2.11210603300512,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,hgb,18,99,0.6464646464646465,0.542910447761194,0.22043167447913237,0.06834846137429657,1.0862941153679246,-0.16757423259444093,2.1432146495773163,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,macro_liquidity_only,random_forest,18,99,0.6161616161616161,0.4878731343283582,0.2355980520010247,0.10093550480872793,0.8463841134333884,-0.2286959817450297,1.6687044981183359,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,logistic_linear,63,99,0.6868686868686869,0.5727611940298507,0.21515379912412486,0.09671735936702258,1.0112110119329514,-0.18195820560528808,2.120178900740288,True,True,Medium confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,hgb,63,99,0.6262626262626263,0.49533582089552236,0.22891270800905306,0.12040319004086725,0.9050620225637434,-0.27257845026980054,1.8701006532550566,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,dollar_rates_only,random_forest,63,99,0.6666666666666666,0.5578358208955223,0.22353766312656387,0.08338791405798171,1.0008234962860743,-0.21664641766095938,2.1322731118381273,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,risk_assets_only,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,risk_assets_only,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,risk_assets_only,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,risk_assets_only,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
