run_id,horizon,window_type,model_name,is_baseline,n_samples,directional_accuracy,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_calibration_check,passes_sample_threshold,passes_reliability_check,final_rejection_reason
spx_research_20260507T190435Z,90,sensitivity_overlapping_monthly,logistic_linear,False,60,0.6666666666666666,False,True,True,True,False,False,True,False,sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,90,sensitivity_overlapping_monthly,hgb,False,60,0.6166666666666667,False,False,False,True,False,False,True,False,sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,90,sensitivity_overlapping_monthly,random_forest,False,60,0.5666666666666667,False,False,False,True,False,False,True,False,sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,buy_hold_direction,True,15,0.6666666666666666,False,True,True,True,False,False,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,momentum_30d,True,15,0.6,False,False,True,False,False,True,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,momentum_90d,True,15,0.5333333333333333,False,False,False,False,False,True,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_90d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,random_permutation,True,15,0.6,False,False,True,False,False,False,True,False,baseline_not_selectable; diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,logistic_linear,False,15,0.6666666666666666,False,True,True,True,False,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,hgb,False,15,0.6,False,False,True,False,False,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; failed_calibration_check; low_reliability
spx_research_20260507T190435Z,180,diagnostic_semiannual,random_forest,False,15,0.6,False,False,True,False,False,False,True,False,diagnostic_horizon_not_selection_eligible; sensitivity_window_not_selection_eligible; did_not_beat_buy_hold; did_not_beat_30d_momentum; did_not_beat_random_baseline; failed_transaction_cost_check; failed_calibration_check; low_reliability
