run_id,date,horizon,window_type,model,signal,position,btc_return,gross_strategy_return,tc_adjusted_strategy_return,equity_gross,equity_tc_adjusted,equity_buy_hold,trade_flag,turnover
btc_research_20260425T064120Z,2020-01-31,30,official_monthly,buy_hold_direction,long,1.0,-0.08705642647332934,-0.08705642647332934,-0.08805642647332934,0.9129435735266707,0.9119435735266707,0.9129435735266707,1,1.0
btc_research_20260425T064120Z,2020-02-29,30,official_monthly,buy_hold_direction,long,1.0,-0.24852229952364024,-0.24852229952364024,-0.24852229952364024,0.6860567372984929,0.6853052595980166,0.6860567372984929,0,0.0
btc_research_20260425T064120Z,2020-03-31,30,official_monthly,buy_hold_direction,long,1.0,0.3424361997711831,0.3424361997711831,0.3424361997711831,0.9209873992464057,0.9199785883779655,0.9209873992464057,0,0.0
btc_research_20260425T064120Z,2020-04-30,30,official_monthly,buy_hold_direction,long,1.0,0.12476983585876145,0.12476983585876145,0.12476983585876145,1.0358988458783673,1.0347641658434594,1.0358988458783673,0,0.0
btc_research_20260425T064120Z,2020-05-31,30,official_monthly,buy_hold_direction,long,1.0,-0.03285531150459897,-0.03285531150459897,-0.03285531150459897,1.0018640666097791,1.0007666668408761,1.0018640666097791,0,0.0
btc_research_20260425T064120Z,2020-06-30,30,official_monthly,buy_hold_direction,long,1.0,0.21669293579387494,0.21669293579387494,0.21669293579387494,1.2189609324698425,1.2176257339232763,1.2189609324698425,0,0.0
btc_research_20260425T064120Z,2020-07-31,30,official_monthly,buy_hold_direction,long,1.0,0.03210026410327327,0.03210026410327327,0.03210026410327327,1.2580899003336967,1.2567118415611553,1.2580899003336967,0,0.0
btc_research_20260425T064120Z,2020-08-31,30,official_monthly,buy_hold_direction,long,1.0,-0.07510682110682121,-0.07510682110682121,-0.07510682110682121,1.1635987672530352,1.1623242100941977,1.1635987672530352,0,0.0
btc_research_20260425T064120Z,2020-09-30,30,official_monthly,buy_hold_direction,long,1.0,0.2589959024567634,0.2589959024567634,0.2589959024567634,1.4649660800753126,1.463361417834889,1.4649660800753126,0,0.0
btc_research_20260425T064120Z,2020-10-31,30,official_monthly,buy_hold_direction,long,1.0,0.4280486294269896,0.4280486294269896,0.4280486294269896,2.09204280280858,2.0897512670954494,2.09204280280858,0,0.0
btc_research_20260425T064120Z,2020-11-30,30,official_monthly,buy_hold_direction,long,1.0,0.46583686467545293,0.46583686467545293,0.46583686467545293,3.0665934628357756,3.0632344453107487,3.0665934628357756,0,0.0
