date,long_cash_signal,buy_hold_same_windows
2026-02-23,1.0,0.9916941751197037
2026-02-24,1.0,1.0517418057252848
2026-02-25,1.0,1.04390557666191
2026-02-26,1.0,1.0195778776118924
2026-02-27,1.0,1.0368189598706556
2026-02-28,0.981226335116326,1.0173540681730044
2026-03-01,0.981226335116326,1.0643658809138137
2026-03-02,0.981226335116326,1.0569033698396526
2026-03-03,0.981226335116326,1.1252591829770309
2026-03-04,0.981226335116326,1.096327776429349
2026-03-05,0.981226335116326,1.0544712407322383
2026-03-06,0.9687854261331019,1.0411016640485653
2026-03-07,0.9687854261331019,1.0209395120326372
2026-03-08,0.9687854261331019,1.058586128485357
2026-03-09,0.9687854261331019,1.0821796911295176
2026-03-10,0.9687854261331019,1.0864813774246407
2026-03-11,0.9687854261331019,1.0909473738936042
2026-03-12,0.9687854261331019,1.0982953877384591
2026-03-13,0.9687854261331019,1.1021080124786264
2026-03-14,0.9687854261331019,1.1264869753356406
2026-03-15,0.9687854261331019,1.1585401542810874
2026-03-16,0.9687854261331019,1.1440143611202716
2026-03-17,0.9687854261331019,1.1025870389015522
2026-03-18,0.9687854261331019,1.081960973613346
2026-03-19,0.9687854261331019,1.0913981084985178
2026-03-20,0.9687854261331019,1.0633703474543563
2026-03-21,0.9687854261331019,1.0499634110622824
2026-03-22,0.9687854261331019,1.0974688797558443
2026-03-23,0.9633619109831807,1.0913249608493836
2026-03-24,0.9633619109831807,1.1035822096453944
2026-03-25,0.9633619109831807,1.0646099885230738
2026-03-26,0.9290064555317433,1.0266438196130614
2026-03-27,0.9287448641033308,1.0263547352674744
2026-03-28,0.9236365557034943,1.020709550332384
2026-03-29,0.9339508726895215,1.0321078885507915
2026-03-30,0.9555432703139745,1.0559696189400427
2026-03-31,0.9533760329214928,1.053574607730619
2026-04-01,0.9533760329214928,1.0351585686879101
2026-04-02,0.9539822392465906,1.0358167766249136
2026-04-03,0.9539822392465906,1.0413790205892501
2026-04-04,0.9779610889835137,1.0675546347952491
2026-04-05,0.9762304898198328,1.0656654909643013
2026-04-06,1.0199082652691696,1.1133447004377077
2026-04-07,1.0083207270608947,1.1006955978717063
2026-04-08,1.0174574045783582,1.11066931005747
2026-04-09,1.0174574045783582,1.12941396944786
2026-04-10,1.0174574045783582,1.1305781656685445
2026-04-11,0.9854122654411375,1.094970252785581
2026-04-12,1.0373787263259886,1.1527143369694572
2026-04-13,1.0373787263259886,1.1480246658709095
2026-04-14,1.0373787263259886,1.1576733848651475
2026-04-15,1.0421915967715298,1.1630443567948883
2026-04-16,1.069576843691101,1.19360520279279
2026-04-17,1.069576843691101,1.171928713081974
2026-04-18,1.0431664599719241,1.1429910194636228
2026-04-19,1.0716433997752517,1.1741930257645976
2026-04-20,1.0784265766016559,1.1816253105374637
2026-04-21,1.1045610958286085,1.2102607411428632
2026-04-22,1.105491200550592,1.211279851117331
2026-04-23,1.105491200550592,1.2022195777567073
