run_id,generated_at,horizon,window_type,is_official,model,rank,test_start,test_end,sample_count,directional_accuracy,balanced_accuracy,brier_score,calibration_error,mae,rmse,sharpe,max_drawdown,num_trades,turnover,tc_adjusted_return,beats_buy_hold_direction,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,useful_model,reliability_label,selection_eligible,notes
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,momentum_90d,1,2017-12-31,2026-03-31,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.31350442073498297,0.4095172685579832,0.7443711700964941,-0.5161669484906326,22,0.22,8.404250921258626,True,True,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,random_forest,2,2017-12-31,2026-03-31,100,0.54,0.5354141656662665,0.24597063248047588,0.06806935467633814,0.1549900488113836,0.20551920936029452,0.780186822574659,-0.4848173186257232,21,0.21,10.868082756709548,True,True,False,True,False,Low confidence,False,
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,momentum_30d,3,2017-12-31,2026-03-31,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.2058923773673769,0.25470889753427645,0.6663763289831129,-0.48181901255299286,53,0.53,5.063173250773783,True,False,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,hgb,4,2017-12-31,2026-03-31,100,0.52,0.5162064825930373,0.2596458789750768,0.09496963428889917,0.15792159551910268,0.20509388973897977,0.7007581732599935,-0.5765065256518291,32,0.32,6.78354024438263,True,False,False,True,False,Low confidence,False,does not beat baselines after transaction costs
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,buy_hold_direction,5,2017-12-31,2026-03-31,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.15387606308262103,0.19533153797959457,0.7218542351604857,-0.712253337992643,1,0.01,8.40243525635288,False,False,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,logistic_linear,6,2017-12-31,2026-03-31,100,0.48,0.4777911164465787,0.2732112625582814,0.13327914496292947,0.16253965566928621,0.2130265987609059,0.5599409581715222,-0.665564341099657,19,0.19,2.9937007604871737,False,False,False,True,False,Low confidence,False,does not beat baselines after transaction costs
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,official_monthly,True,random_permutation,7,2017-12-31,2026-03-31,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.15193101218498883,0.19223177318468632,0.3778009394908933,-0.7389610874794639,55,0.55,0.7202328093197985,False,False,False,False,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,sensitivity_weekly,False,buy_hold_direction,1,2017-12-31,2026-03-29,431,0.54292343387471,0.5,0.44803503480278434,0.44707656612529,0.15382861501044925,0.20158972731381852,1.3616573674685672,-0.9961301810839405,1,0.002320185614849188,2777.124019083707,False,True,True,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,sensitivity_weekly,False,hgb,2,2017-12-31,2026-03-29,431,0.5290023201856149,0.5120612607922252,0.2472936645187306,0.07069559685610363,0.15535760345361158,0.2058508662236056,1.3675977293537225,-0.9740462787826087,88,0.20417633410672853,2734.1965643359113,False,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,30,sensitivity_weekly,False,momentum_30d,3,2017-12-31,2026-03-29,431,0.5150812064965197,0.5136882294242701,0.25698375870069606,0.03944315545243615,0.20944278317586462,0.26529685540052844,1.3672242299694188,-0.9424858347662721,97,0.22505800464037123,2973.410945452636,False,False,True,True,False,Low confidence,False,baseline
