windows,start,end,mae,rmse,directional_accuracy,avg_pred_return,avg_actual_return,strategy_total_return,buyhold_total_return,strategy_ann_return,buyhold_ann_return,strategy_sharpe,buyhold_sharpe,strategy_max_drawdown,buyhold_max_drawdown,exposure,horizon,model,step_days,threshold,initial_train_days,feature_count,refit_every_days,refits
2777,2018-09-16,2026-04-23,0.02312853808119015,0.035097540083889725,0.49693914296002883,0.00023309506754198313,0.0014279094450748773,2.6659353007123174,10.919803614020504,0.1861910570921137,0.38503697963101,0.607615518043793,0.8389182155442488,-0.6049087906793569,-0.7663456370856903,0.5045012603528988,1,elastic_net,1,0.0,1460,118,30,93
396,2018-09-16,2026-04-12,0.08106979262073878,0.10743270028382469,0.494949494949495,0.00372446542964104,0.00964606542142804,1.435211185476394,10.332562484149273,0.12433771371419278,0.3766624807807579,0.48866530791643675,0.8355328914136463,-0.5618264329560463,-0.7511437535379164,0.5151515151515151,7,elastic_net,7,0.0,1460,118,30,80
92,2018-09-16,2026-03-08,0.12059892483475285,0.1509336879341474,0.6847826086956522,0.02387492456188277,0.04440323473656628,260.6680117405573,10.038624249233072,1.0880397469828336,0.37379434236503806,1.5978672218899859,0.7851365617577147,-0.2695330005770715,-0.7317049894338645,0.5652173913043478,30,elastic_net,30,0.0,1460,118,30,92
30,2018-09-16,2025-11-08,0.13027870894828758,0.15430649232736451,0.9,0.19436789969544718,0.15550364242840448,193.68587063927953,9.82606107579988,1.0393139937302678,0.37989195435604484,1.2548309911976856,0.699926412987203,-0.22622990221980832,-0.7127581540294574,0.6666666666666666,90,elastic_net,90,0.0,1460,118,30,30
15,2018-09-16,2025-08-10,0.13579395895895324,0.183485600351399,0.9333333333333333,0.4790696541423233,0.4126082702756085,89.07801365155954,9.82606107579988,0.8375345117310933,0.37989195435604484,0.7429157950214156,0.5431806824038619,-0.028715958183859414,-0.5827938169796967,0.6666666666666666,180,elastic_net,180,0.0,1460,118,30,15
