date,long_cash_signal,buy_hold_same_windows
2018-09-16,1.0,1.0121110181660027
2018-10-16,1.0,0.8666370474373434
2018-11-15,1.0,0.4966506420642255
2018-12-15,1.1449876661062912,0.5686588595273085
2019-01-14,1.1221309667624495,0.5573070651227207
2019-02-13,1.2237265134061703,0.6077645585941905
2019-03-15,1.5965717025238626,0.79293836116005
2019-04-14,2.4698809212042807,1.226667945338287
2019-05-14,2.5429501901374714,1.2629578446691196
2019-06-13,3.519684146119229,1.7480533910333906
2019-07-13,3.5166679539615098,1.7465553972616703
2019-08-12,3.5166679539615098,1.5617754605184544
2019-09-11,3.5166679539615098,1.2768953153792357
2019-10-11,3.8267495685788315,1.3894853484086722
2019-11-10,3.8267495685788315,1.1167590019918059
2019-12-10,3.8267495685788315,1.208969381933344
2020-01-09,4.791343932599114,1.5137097447888825
2020-02-08,4.791343932599114,1.21580872670904
2020-03-09,4.791343932599114,1.1253484536252398
2020-04-08,6.4301832380020025,1.5102645239426888
2020-05-08,6.4301832380020025,1.4974041342799997
2020-06-07,6.4301832380020025,1.4196749352016924
2020-07-07,8.186752179066588,1.8074954381766644
2020-08-06,8.186752179066588,1.5604244640349259
2020-09-05,8.186752179066588,1.6561364812130797
2020-10-05,10.720421900119945,2.168684407985654
2020-11-04,14.183778996558868,2.869303152687252
2020-12-04,24.865176645630445,5.030093161966362
2021-01-03,26.93456710992449,5.448719861154244
2021-02-02,36.83366348520871,7.451254478004164
2021-03-04,43.692571893769355,8.838775217396028
2021-04-03,43.386442925386675,8.776846953121577
2021-05-03,43.386442925386675,5.765557906030374
2021-06-02,43.386442925386675,5.201183020989071
2021-07-02,51.16576929029101,6.133771578051852
2021-08-01,60.37088725589164,7.237284565996501
2021-08-31,60.37088725589164,6.719300886291754
2021-09-30,85.32101800960304,9.49625917375087
2021-10-30,85.32101800960304,8.869873909742017
2021-11-29,85.32101800960304,7.126504053101834
2021-12-29,85.32101800960304,5.797650365976047
2022-01-28,85.1526832813571,5.786211849165198
2022-02-27,107.18263964051884,7.283169896873385
2022-03-29,107.18263964051884,6.102919829162478
2022-04-28,107.18263964051884,4.421375443586045
2022-05-28,107.18263964051884,3.181664148657563
2022-06-27,107.18263964051884,3.518477042162823
2022-07-27,107.18263964051884,3.108709439481059
2022-08-26,107.18263964051884,2.8850050403886662
2022-09-25,107.18263964051884,3.0835203078401925
2022-10-25,107.18263964051884,2.5477989553602503
2022-11-24,108.75309514757033,2.5851296734105356
2022-12-24,148.0428875624071,3.519072823220777
2023-01-23,156.14017960674852,3.7115505629089585
2023-02-22,177.4705118873831,4.218586016452159
2023-03-24,178.10374970500985,4.233638478825311
2023-04-23,175.74340796645038,4.1775316667896645
2023-05-23,193.08525099810015,4.589758214934461
2023-06-22,192.17845525013982,4.568203107996181
2023-07-22,192.17845525013982,4.00850366575424
2023-08-21,199.5926841800552,4.1631514060830055
2023-09-20,218.35831501644728,4.554569371743929
2023-10-20,275.0287149617746,5.736613975156558
2023-11-19,310.9570096157247,6.48601484133171
2023-12-19,303.53835537844145,6.331274796895374
2024-01-18,380.0513450532262,7.927200829238523
2024-02-17,496.91144246756426,10.364696376052326
2024-03-18,450.77310164313354,9.402331952392956
2024-04-17,493.2574029552585,10.288479555801464
2024-05-17,490.2204926704322,10.2251349629154
2024-06-16,490.2204926704322,9.988545150157128
2024-07-16,490.2204926704322,8.832055598240375
2024-08-15,490.2204926704322,9.207221447818394
2024-09-14,539.5733455130929,10.13415667798116
2024-10-14,740.0403953102473,13.89928797720268
2024-11-13,828.8860424614772,15.567968826385485
2024-12-13,828.8860424614772,14.498362014162533
2025-01-12,839.930367877344,14.691542523760623
2025-02-11,839.930367877344,12.438923113750198
2025-03-13,839.930367877344,13.08650475737018
2025-04-12,1012.5295859323685,15.775680639775345
2025-05-12,1070.3750846825665,16.676940343600535
2025-06-11,1157.3389132686366,18.03187713364278
2025-07-11,1174.9650060139152,18.306499834983924
2025-08-10,1174.9650060139152,17.11331340653478
2025-09-09,1282.1581936045875,18.674577448353336
2025-10-09,1282.1581936045875,15.694228857995144
2025-11-08,1282.1581936045875,13.907886644262437
2025-12-08,1282.1581936045875,14.010362184985068
2026-01-07,1282.1581936045875,10.826061075799874
2026-02-06,1282.1581936045875,10.122442447602243
2026-03-08,1282.1581936045875,11.038624249233072
