horizon,model,as_of,current_price,pred_log_return,pred_return,prob_up,forecast_price,price_low_68,price_high_68,price_low_90,price_high_90,residual_sigma,train_rows,feature_count
1,hgb,2026-04-24,77683.5078125,-0.0005737694619462647,-0.0005736048877259536,0.4922296877483426,77638.94817272306,75385.32913586996,79959.93839202616,73966.56904400131,81493.65789537903,0.02945652842992071,4237,118
7,hgb,2026-04-24,77683.5078125,-0.05571881845511703,-0.054194958572513885,0.1681312350614052,73473.453324834,69337.01372037391,77856.66058892175,66793.3924573861,80821.59244899388,0.05794528959412068,4231,118
30,hgb,2026-04-24,77683.5078125,-0.17539245929893837,-0.16087236730471854,0.01,65186.378010168526,60653.330886955635,70058.21141141068,57898.15708910766,73392.04029490594,0.0720759671801531,4208,118
90,hgb,2026-04-24,77683.5078125,-0.31847697609046766,-0.27274417796492423,0.01,56495.78333274792,49329.540890377204,64703.08615832713,45197.123277605475,70618.9532191372,0.13564289579119013,4148,118
180,hgb,2026-04-24,77683.5078125,-0.6269277281004075,-0.4657694160645648,0.01,41500.90574082482,33958.22252168147,50718.943731791755,29837.147865502648,57724.189492661186,0.20058423235622025,4058,118
