date,asset_open,asset_high,asset_low,asset_close,adjclose,asset_volume
2014-01-02,183.97999572753906,184.07000732421875,182.47999572753906,148.58023071289062,148.58023071289062,119636900
2014-01-03,183.22999572753906,183.60000610351562,182.6300048828125,148.55587768554688,148.55587768554688,81390600
2014-01-06,183.49000549316406,183.55999755859375,182.0800018310547,148.1254119873047,148.1254119873047,108028200
2014-01-07,183.08999633789062,183.7899932861328,182.9499969482422,149.03515625,149.03515625,86144200
2014-01-08,183.4499969482422,183.8300018310547,182.88999938964844,149.06761169433594,149.06761169433594,96582300
2014-01-09,184.11000061035156,184.1300048828125,182.8000030517578,149.1651153564453,149.1651153564453,90683400
2014-01-10,183.9499969482422,184.22000122070312,183.00999450683594,149.5712432861328,149.5712432861328,102026400
2014-01-13,183.6699981689453,184.17999267578125,181.33999633789062,147.5811309814453,147.5811309814453,149892000
2014-01-14,182.2899932861328,183.77000427246094,181.9499969482422,149.18946838378906,149.18946838378906,105016100
2014-01-15,184.10000610351562,184.94000244140625,183.7100067138672,149.9936065673828,149.9936065673828,98525800
2014-01-16,184.27999877929688,184.66000366210938,183.8300018310547,149.79867553710938,149.79867553710938,72290600
2014-01-17,184.10000610351562,184.4499969482422,183.32000732421875,149.1651153564453,149.1651153564453,107848700
2014-01-21,184.6999969482422,184.77000427246094,183.0500030517578,149.60369873046875,149.60369873046875,88621200
2014-01-22,184.49000549316406,184.57000732421875,183.91000366210938,149.70120239257812,149.70120239257812,61270900
2014-01-23,183.3699951171875,183.39999389648438,181.82000732421875,148.4746551513672,148.4746551513672,132496900
2014-01-24,181.60000610351562,181.66000366210938,178.8300018310547,145.30685424804688,145.30685424804688,208677100
2014-01-27,179.05999755859375,179.52000427246094,177.1199951171875,144.59201049804688,144.59201049804688,180843100
2014-01-28,178.13999938964844,179.3000030517578,178.1199951171875,145.45303344726562,145.45303344726562,110463200
2014-01-29,177.5800018310547,178.5500030517578,176.8800048828125,144.05592346191406,144.05592346191406,216597300
2014-01-30,178.8300018310547,179.80999755859375,178.25999450683594,145.58299255371094,145.58299255371094,118938100
2014-01-31,177.00999450683594,179.2899932861328,176.9199981689453,144.7300567626953,144.7300567626953,194677900
2014-02-03,177.97000122070312,178.3699951171875,173.8300018310547,141.47291564941406,141.47291564941406,254837100
2014-02-04,174.9499969482422,175.83999633789062,174.11000061035156,142.4639129638672,142.4639129638672,165012400
2014-02-05,174.77999877929688,175.55999755859375,173.7100067138672,142.28515625,142.28515625,164230500
2014-02-06,175.5800018310547,177.47999572753906,175.22000122070312,144.16152954101562,144.16152954101562,132877600
