date,btc_proxy_close,eth_close,spx_close,nasdaq_close,vix_close,dxy_close,gold_close,tlt_close
2014-01-02,,,1831.97998046875,4143.06982421875,14.229999542236328,80.62999725341797,1225.0,102.16999816894531
2014-01-03,,,1831.3699951171875,4131.91015625,13.760000228881836,80.79000091552734,1238.4000244140625,102.16999816894531
2014-01-05,,,,,,,,
2014-01-06,,,1826.77001953125,4113.68017578125,13.550000190734863,80.6500015258789,1237.800048828125,102.5999984741211
2014-01-07,,,1837.8800048828125,4153.18017578125,12.920000076293945,80.83000183105469,1229.4000244140625,102.86000061035156
2014-01-08,,,1837.489990234375,4165.60986328125,12.869999885559082,81.04000091552734,1225.300048828125,102.58000183105469
2014-01-09,,,1838.1300048828125,4156.18994140625,12.890000343322754,81.01000213623047,1229.300048828125,103.18000030517578
2014-01-10,,,1842.3699951171875,4174.669921875,12.140000343322754,80.66000366210938,1246.699951171875,104.41000366210938
2014-01-12,,,,,,,,
2014-01-13,,,1819.199951171875,4113.2998046875,13.279999732971191,80.51000213623047,1250.9000244140625,104.93000030517578
2014-01-14,,,1838.8800048828125,4183.02001953125,12.279999732971191,80.61000061035156,1245.199951171875,104.44999694824219
2014-01-15,,,1848.3800048828125,4214.8798828125,12.279999732971191,81.0,1238.0999755859375,104.33999633789062
2014-01-16,,,1845.8900146484375,4218.68994140625,12.529999732971191,80.9000015258789,1240.0,105.04000091552734
2014-01-17,,,1838.699951171875,4197.580078125,12.4399995803833,81.26000213623047,1251.699951171875,105.4800033569336
2014-01-19,,,,,,,,
2014-01-20,,,,,,,,
2014-01-21,,,1843.800048828125,4225.759765625,12.869999885559082,81.0999984741211,1242.300048828125,105.55999755859375
2014-01-22,,,1844.8599853515625,4243.0,12.84000015258789,81.16999816894531,1239.0,105.30000305175781
2014-01-23,,,1828.4599609375,4218.8798828125,13.770000457763672,80.44000244140625,1262.5999755859375,106.79000091552734
2014-01-24,,,1790.2900390625,4128.169921875,18.139999389648438,80.45999908447266,1264.5,107.4800033569336
2014-01-26,,,,,,,,
2014-01-27,,,1781.56005859375,4083.610107421875,17.420000076293945,80.5,1263.5999755859375,106.7300033569336
2014-01-28,,,1792.5,4097.9599609375,15.800000190734863,80.56999969482422,1251.0,106.98999786376953
