date,cm_price_usd,cm_market_cap_usd,cm_mvrv,cm_active_addresses,cm_tx_count,cm_hash_rate,cm_fees_btc,cm_exchange_inflow_usd,cm_exchange_outflow_usd,cm_supply,cm_exchange_supply_usd,cm_spot_volume_usd,cm_roi_30d,cm_roi_1y
2014-01-01,752.404549944594,9183089853.000948,2.79859382,96516,42383,12034.3221418728,9.23071257,8640414.166165011,7086230.09579406,12204989.79395749,496787032.9699157,25911022.9681002,-27.70958788153972,5543.864581736328
2014-01-02,784.954921314436,9582996402.3458,2.90688604,138928,55196,9425.136247148,13.99736238,26310976.700565435,11332011.716292672,12208339.79395749,533257896.71541137,36219312.9241722,-25.49931134010443,5810.53505587975
2014-01-03,807.222939029807,9858101001.48251,2.97276592,143832,61335,11352.6079123221,13.93784436,44578267.53988515,14450716.093542349,12212364.79395749,578513191.1295106,34865512.9925394,-28.87478943144015,5931.2167124242105
2014-01-04,828.602062618352,10122111479.991652,3.00082617,116229,51901,9942.34605985975,12.22066995,11847785.173658613,10613062.990155552,12215889.79395749,595069709.0806445,33036042.1287194,-19.350538456612032,6059.821880055498
2014-01-05,902.487380263004,11029040879.340033,3.23751863,134802,57487,13609.0268762619,13.71199145,24792120.42548858,39245802.43693277,12220714.79395749,633677582.7418958,67448205.71814,9.447901760187433,6605.253774549314
2014-01-06,914.459960841613,11179606610.7568,3.25855458,179999,68483,13115.4352279001,29.78934843,31223290.69709243,23286810.387231752,12225364.79395749,650020558.3514743,76835643.8726741,29.941324483880205,6671.522065316047
2014-01-07,803.351796198714,9824823598.10845,2.85648041,141665,62183,12480.817394292,15.51390022,20351419.66886773,14204254.516867427,12229789.79395749,577189316.2344285,78033477.489979,2.524134837721502,5826.144454619876
2014-01-08,820.690009503214,10040826131.521135,2.89105715,146348,60865,13609.0268762619,13.94318173,18022612.64393437,25166071.830118697,12234614.79395749,582502954.3365108,53588332.2012971,-8.413237671755873,5855.5089087828555
2014-01-09,831.334750487434,10175362594.378292,2.91922133,134908,59047,14596.2101729856,12.87498495,12806790.733132016,9927331.309781164,12239789.79395749,592937754.9966929,50168741.4328682,-14.923842137408302,5915.0310528784885
2014-01-10,853.298854844603,10448187786.868984,2.98942387,128371,54712,13185.9483205232,12.58071048,8396334.482820118,13857577.13682307,12244464.79395749,603142099.184112,25163378.6160146,-2.5318206756688286,5941.8353833561105
2014-01-11,889.555837119345,10896805298.01208,3.08800818,130495,55926,14807.7494508549,12.41041555,13432408.504507868,13692756.607086165,12249714.79395749,628509480.7744927,36419938.6817892,1.8585331620416732,6152.316036852208
2014-01-12,845.191332220924,10357726631.175535,2.92251348,115119,49258,14596.2101729856,11.56905543,12944170.587597284,8404952.077425938,12254889.79395749,601703267.3567265,31432593.6936678,-3.863341415281329,5846.0696982773825
2014-01-13,822.877012197545,10087743753.83846,2.83904175,153853,54504,14628.2406711142,12.26104653,17584274.29676184,21489593.676374875,12259114.79395749,581912078.405274,38582689.3652146,-3.515142543618384,5710.954847122615
2014-01-14,815.293602711864,9998079805.514896,2.80186801,129226,55869,14411.3355551816,15.76113788,9580530.347504158,15298401.76079992,12263164.79395749,570831464.4316703,16672656.6919448,-5.644048049738474,5594.19816129282
2014-01-15,841.089857364115,10318292540.726215,2.87183201,135647,62751,16368.4305071198,17.25795822,14513863.836653104,10313400.679077096,12267764.79395749,593093290.7239708,24060294.849279,24.07392967802674,5776.143241571652
2014-01-16,815.854800298071,10012488124.529272,2.77584537,130689,55602,16457.3893685716,12.98211447,12762596.989429519,14672516.686293414,12272389.79395749,573388907.2063073,15891950.0376363,19.51696489487485,5447.084003371404
2014-01-17,792.829506475745,9732925495.745893,2.69438096,128915,59146,13521.7469406642,14.82703195,13584462.751763605,18102469.000083,12276189.79395749,552688550.792169,34641225.5860399,50.69338463011873,4982.696650403021
