date,solana_tvl_usd
2022-06-12,2276101238
2022-06-13,2094418261
2022-06-14,1899145885
2022-06-15,1898304377
2022-06-16,1791545957
2022-06-17,1601845745
2022-06-18,1690729234
2022-06-19,1606205418
2022-06-20,1647931629
2022-06-21,1630951494
2022-06-22,1646436945
2022-06-23,1632932359
2022-06-24,1658645227
2022-06-25,1714779635
2022-06-26,1717098543
2022-06-27,1664372611
2022-06-28,1673138874
2022-06-29,1656030879
2022-06-30,1607607784
2022-07-01,1558848755
2022-07-02,1532175498
2022-07-03,1571752658
2022-07-04,1579477582
2022-07-05,1599575859
2022-07-06,1580541536
2022-07-07,1652542224
2022-07-08,1729678199
2022-07-09,1717467234
2022-07-10,1708185958
2022-07-11,1635696116
2022-07-12,1559041270
2022-07-13,1586717731
2022-07-14,1606591440
2022-07-15,1580509699
2022-07-16,1605350608
2022-07-17,1691261715
2022-07-18,1671971281
2022-07-19,1776919065
2022-07-20,1774892826
2022-07-21,1732487796
2022-07-22,1733323158
2022-07-23,1686025152
2022-07-24,1670639037
2022-07-25,1680230556
2022-07-26,1644083270
2022-07-27,1600516566
2022-07-28,1678542821
2022-07-29,1702124911
2022-07-30,1692142371
2022-07-31,1713590610
2022-08-01,1697453858
2022-08-02,1693096347
2022-08-03,1606737909
2022-08-04,1569868450
2022-08-05,1574929416
2022-08-06,1605909437
2022-08-07,1606807421
2022-08-08,1622775491
2022-08-09,1642443658
2022-08-10,1506741801
2022-08-11,1541137495
2022-08-12,1523879038
2022-08-13,1565506395
2022-08-14,1588639972
2022-08-15,1561108660
2022-08-16,1558492667
2022-08-17,1648984182
2022-08-18,1576367092
2022-08-19,1560502838
2022-08-20,1487288128
2022-08-21,1506411742
2022-08-22,1515109802
2022-08-23,1493698764
2022-08-24,1473695584
2022-08-25,1462921029
2022-08-26,1501106781
2022-08-27,1420839823
2022-08-28,1450843963
2022-08-29,1382588994
2022-08-30,1414620091
2022-08-31,1401972084
2022-09-01,1371489615
2022-09-02,1452465726
2022-09-03,1369991705
2022-09-04,1415908447
2022-09-05,1407165041
2022-09-06,1418234940
2022-09-07,1377692013
2022-09-08,1389364491
2022-09-09,1403517185
2022-09-10,1338159887
2022-09-11,1344041371
2022-09-12,1305556799
2022-09-13,1384822263
2022-09-14,1286336770
2022-09-15,1299645601
2022-09-16,1251295619
2022-09-17,1276576438
2022-09-18,1298551001
2022-09-19,1242792293
2022-09-20,1273962279
2022-09-21,1255042992
2022-09-22,1230721169
2022-09-23,1269175264
2022-09-24,1275982289
2022-09-25,1256333713
2022-09-26,1270032081
2022-09-27,1286929221
2022-09-28,1285093809
2022-09-29,1289996404
2022-09-30,1298503484
2022-10-01,1280404320
2022-10-02,1279312645
2022-10-03,1270382348
2022-10-04,1286867525
2022-10-05,1301808459
2022-10-06,1282079205
2022-10-07,1289478239
2022-10-08,1278491999
2022-10-09,1275999676
2022-10-10,1285395957
2022-10-11,1260822439
2022-10-12,1097987578
2022-10-13,939327583
2022-10-14,885341857
2022-10-15,878853071
2022-10-16,876726168
2022-10-17,935299998
2022-10-18,890560705
2022-10-19,883295441
2022-10-20,876381631
2022-10-21,870019800
2022-10-22,878794513
2022-10-23,882953698
2022-10-24,908287367
2022-10-25,897639211
2022-10-26,936027994
2022-10-27,959491837
2022-10-28,959600319
2022-10-29,967645557
2022-10-30,985235496
2022-10-31,974475788
2022-11-01,964956150
2022-11-02,961633287
2022-11-03,982030188
2022-11-04,943510594
2022-11-05,966892803
2022-11-06,1004248611
2022-11-07,940593129
2022-11-08,859226292
2022-11-09,629377056
2022-11-10,426594603
2022-11-11,461964842
2022-11-12,392982139
2022-11-13,343984997
2022-11-14,325945087
2022-11-15,324799577
2022-11-16,331352723
2022-11-17,339352328
2022-11-18,314943577
2022-11-19,296452297
2022-11-20,294605301
2022-11-21,293192137
2022-11-22,287991520
2022-11-23,288594259
2022-11-24,286240112
2022-11-25,285847100
2022-11-26,286210404
2022-11-27,284798018
2022-11-28,285049308
2022-11-29,283014542
2022-11-30,284789709
2022-12-01,286326331
2022-12-02,305971283
2022-12-03,304861868
2022-12-04,294281911
2022-12-05,294963352
2022-12-06,296608247
2022-12-07,296120617
2022-12-08,296576602
2022-12-09,294224639
2022-12-10,295102439
2022-12-11,294852840
